experiment,scenario_name,stage,persona_name,chat_atmosphere,source_type,source_experiment,scenario_label,persona_label,atmosphere_label,n_individual,mean_nsb,sd_individual,ci95_individual_low,ci95_individual_high,n_batches,batch_size,mean_of_batch_means,sd_between_batches,se_between_batches,ci95_batch_low,ci95_batch_high,batch_mean_min,batch_mean_max,positive_share,neutral_share,negative_share
A,influenza_a,P1,authority_trusting,none,direct,A,甲流,权威信任型,无初始氛围,300,0.4166666666666667,0.49383038625644576,0.36055841254655346,0.4727749207867799,10,30,0.4166666666666667,0.05719794522770556,0.018087578440110785,0.3757497215406957,0.4575836117926377,0.3333333333333333,0.5,0.5833333333333334,0.0,0.4166666666666667
A,influenza_a,P1,ordinary_user,none,direct,A,甲流,普通用户型,无初始氛围,300,0.5016666666666667,0.4999972129242277,0.44485774712089265,0.5584755862124408,10,30,0.5016666666666667,0.005270462766947316,0.0016666666666666718,0.4978964047286697,0.5054369286046637,0.5,0.5166666666666667,0.49666666666666665,0.0033333333333333335,0.5
A,influenza_a,P1,risk_sensitive,none,direct,A,甲流,风险敏感型,无初始氛围,300,0.96,0.1962865968262871,0.9376982167124436,0.9823017832875564,10,30,0.96,0.030631219449089378,0.00968644209675705,0.9380877456287909,0.981912254371209,0.9,1.0,0.04,0.0,0.96
A,influenza_a,P2,authority_trusting,none,direct,A,甲流,权威信任型,无初始氛围,300,0.10666666666666667,0.3092047555018713,0.07153529468212219,0.14179803865121116,10,30,0.10666666666666666,0.051639777949432225,0.01632993161855452,0.06972579488774866,0.14360753844558466,0.03333333333333333,0.2,0.8933333333333333,0.0,0.10666666666666667
A,influenza_a,P2,ordinary_user,none,direct,A,甲流,普通用户型,无初始氛围,300,0.42333333333333334,0.49491280495042966,0.36710209645469283,0.47956457021197385,10,30,0.42333333333333334,0.05676462121975468,0.017950549357115014,0.3827263695289729,0.4639402971376938,0.3333333333333333,0.5,0.5766666666666667,0.0,0.42333333333333334
A,influenza_a,P2,risk_sensitive,none,direct,A,甲流,风险敏感型,无初始氛围,300,0.6233333333333333,0.48535980056955585,0.5681874942194514,0.6784791724472152,10,30,0.6233333333333333,0.07036062310661138,0.022249982660556424,0.5730003756856197,0.6736662909810469,0.5,0.7333333333333333,0.37666666666666665,0.0,0.6233333333333333
A,mycoplasma_pneumonia,P1,authority_trusting,none,direct,A,支原体肺炎,权威信任型,无初始氛围,300,0.4666666666666667,0.499721215478745,0.40988910552903973,0.5234442278042937,10,30,0.4666666666666667,0.03142696805273544,0.009938079899999064,0.44418516803642294,0.4891481652969104,0.43333333333333335,0.5,0.5333333333333333,0.0,0.4666666666666667
A,mycoplasma_pneumonia,P1,ordinary_user,none,direct,A,支原体肺炎,普通用户型,无初始氛围,300,0.5933333333333334,0.48346113714131733,0.5384032174578041,0.6482634492088627,10,30,0.5933333333333333,0.04527010841658524,0.014315665251916803,0.5609490486434883,0.6257176180231783,0.5,0.6666666666666666,0.39,0.03333333333333333,0.5766666666666667
A,mycoplasma_pneumonia,P1,risk_sensitive,none,direct,A,支原体肺炎,风险敏感型,无初始氛围,300,0.9933333333333333,0.08151300584956347,0.9840719501264956,1.002594716540171,10,30,0.9933333333333334,0.014054567378526128,0.004444444444444444,0.9832793014986747,1.003387365167992,0.9666666666666667,1.0,0.006666666666666667,0.0,0.9933333333333333
A,mycoplasma_pneumonia,P2,authority_trusting,none,direct,A,支原体肺炎,权威信任型,无初始氛围,300,0.21666666666666667,0.4126619137653286,0.1697806503995073,0.26355268293382605,10,30,0.21666666666666665,0.08498365855987976,0.0268741924943285,0.15587301962120367,0.27746031371212965,0.13333333333333333,0.4,0.7833333333333333,0.0,0.21666666666666667
