experiment_family,scenario_name,condition_name,agent_persona_name,chat_atmosphere,n_rows,mean_nsb,mean_cb,mean_sb,mean_eb
main,influenza_a,high_interaction,main_baseline_neutral,none,1155,0.8009,0.8009,0.6087,0.8
main,mycoplasma_pneumonia,high_interaction,main_baseline_neutral,none,750,0.9027,0.9027,0.6893,0.8853
persona_supplement,influenza_a,high_interaction,authority_trusting,none,480,0.5792,0.5771,0.4292,0.5708
persona_supplement,influenza_a,high_interaction,ordinary_user,none,480,0.7542,0.7542,0.5021,0.7479
persona_supplement,influenza_a,high_interaction,risk_sensitive,none,480,0.9667,0.9667,0.7958,0.9646
persona_supplement,mycoplasma_pneumonia,high_interaction,authority_trusting,none,350,0.7857,0.7857,0.6,0.7857
persona_supplement,mycoplasma_pneumonia,high_interaction,ordinary_user,none,350,0.9029,0.9029,0.6429,0.9
persona_supplement,mycoplasma_pneumonia,high_interaction,risk_sensitive,none,350,0.9571,0.9571,0.7943,0.9571
atmosphere_supplement,influenza_a,high_interaction,baseline_open,negative_leaning,765,0.9294,0.9294,0.8248,0.9294
atmosphere_supplement,influenza_a,high_interaction,baseline_open,positive_leaning,1470,0.6755,0.6755,0.5381,0.6728
atmosphere_supplement,mycoplasma_pneumonia,high_interaction,baseline_open,negative_leaning,750,0.9347,0.9347,0.7813,0.9333
atmosphere_supplement,mycoplasma_pneumonia,high_interaction,baseline_open,positive_leaning,1920,0.5344,0.5344,0.4042,0.5276
combined_supplement,influenza_a,high_interaction,authority_trusting,negative_leaning,300,0.73,0.73,0.5967,0.73
combined_supplement,influenza_a,high_interaction,authority_trusting,positive_leaning,565,0.6478,0.6478,0.485,0.646
combined_supplement,influenza_a,high_interaction,ordinary_user,negative_leaning,300,0.8,0.8,0.6,0.7867
combined_supplement,influenza_a,high_interaction,ordinary_user,positive_leaning,565,0.6832,0.6832,0.4319,0.6832
combined_supplement,influenza_a,high_interaction,risk_sensitive,negative_leaning,300,0.9367,0.9367,0.7933,0.93
combined_supplement,influenza_a,high_interaction,risk_sensitive,positive_leaning,565,0.9186,0.9186,0.7062,0.9186
combined_supplement,mycoplasma_pneumonia,high_interaction,authority_trusting,negative_leaning,260,0.8769,0.8769,0.7038,0.8731
combined_supplement,mycoplasma_pneumonia,high_interaction,authority_trusting,positive_leaning,315,0.6984,0.6984,0.5746,0.6952
combined_supplement,mycoplasma_pneumonia,high_interaction,ordinary_user,negative_leaning,260,0.9731,0.9731,0.6731,0.9731
combined_supplement,mycoplasma_pneumonia,high_interaction,ordinary_user,positive_leaning,315,0.8571,0.8571,0.6159,0.8444
combined_supplement,mycoplasma_pneumonia,high_interaction,risk_sensitive,negative_leaning,260,0.9885,0.9885,0.7962,0.9846
combined_supplement,mycoplasma_pneumonia,high_interaction,risk_sensitive,positive_leaning,315,0.9556,0.9556,0.7873,0.9556
combined_supplement,influenza_a,high_interaction,authority_trusting,none,480,0.5792,0.5771,0.4292,0.5708
combined_supplement,influenza_a,high_interaction,ordinary_user,none,480,0.7542,0.7542,0.5021,0.7479
combined_supplement,influenza_a,high_interaction,risk_sensitive,none,480,0.9667,0.9667,0.7958,0.9646
combined_supplement,mycoplasma_pneumonia,high_interaction,authority_trusting,none,350,0.7857,0.7857,0.6,0.7857
combined_supplement,mycoplasma_pneumonia,high_interaction,ordinary_user,none,350,0.9029,0.9029,0.6429,0.9
combined_supplement,mycoplasma_pneumonia,high_interaction,risk_sensitive,none,350,0.9571,0.9571,0.7943,0.9571
