experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,1,75,5,0.7733,0.81,0.5651,1.1667,0.7733,0.56,1.0,1.0,0.56,0.4383,0.1217,0.1217,0.7826,0.8772,0.4856,0.4901,0.5227,0.0326,,0.6211,0.4901,0.4997,0.0096,51,88,0,55,51,33,0.5733,1.0,0.5509,0.5,0.5245,0.674,0.5166,0.5018,15,285,243,"{""main_baseline_neutral"": 0.5733}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.5245}","{""main_baseline_neutral"": 0.0233}",0.0473,,0.575,1.0,0.575,300,1.0,1.0,0,14,0,7,5,2,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,2,75,5,0.9067,0.9123,0.8246,1.5,0.9067,0.62,1.0,1.0,0.62,0.45,0.17,0.17,0.9041,0.9909,0.5367,0.4914,0.5378,0.0464,,0.671,0.4914,0.5079,0.0165,40,92,0,54,40,38,0.595,1.0,0.5737,0.5082,0.5389,0.7316,0.5288,0.5084,15,285,245,"{""main_baseline_neutral"": 0.595}","{""main_baseline_neutral"": 55}","{""main_baseline_neutral"": 0.5389}","{""main_baseline_neutral"": 0.0533}",0.0867,,0.5967,1.0,0.59,300,1.0,1.0,0,15,0,8,2,5,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,3,180,12,0.7722,0.8113,0.574,0.913,0.7722,0.61,1.0,1.0,0.61,0.435,0.175,0.175,0.7929,0.9,0.5298,0.4895,0.5498,0.0603,,0.7091,0.4895,0.5057,0.0162,43,82,0,60,43,22,0.605,1.0,0.5842,0.5191,0.5511,0.8805,0.5337,0.5072,15,285,235,"{""main_baseline_neutral"": 0.605}","{""main_baseline_neutral"": 65}","{""main_baseline_neutral"": 0.5511}","{""main_baseline_neutral"": 0.0867}",0.0948,,0.5983,1.0,0.5833,300,1.0,1.0,0,14,0,10,2,2,0,support_report_2,negative_leaning,high_consensus,12
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,4,75,5,0.9067,0.9135,0.827,1.5,0.9067,0.6283,1.0,1.0,0.6283,0.4633,0.165,0.165,0.9041,0.9825,0.5453,0.4902,0.5375,0.0473,,0.6668,0.4902,0.5072,0.017,32,91,0,57,32,34,0.5967,1.0,0.5754,0.5041,0.5389,0.6831,0.5313,0.5082,15,285,243,"{""main_baseline_neutral"": 0.5967}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.5389}","{""main_baseline_neutral"": 0.04}",0.082,,0.5983,1.0,0.5933,300,1.0,1.0,0,14,0,7,5,2,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,5,135,9,0.8519,0.8274,0.6004,0.9306,0.8519,0.6533,1.0,1.0,0.6533,0.4483,0.205,0.205,0.8438,0.9683,0.5696,0.4911,0.5537,0.0626,,0.7126,0.4911,0.5115,0.0204,41,108,0,61,41,47,0.6217,1.0,0.6018,0.5316,0.5533,0.8277,0.5389,0.5105,15,285,237,"{""main_baseline_neutral"": 0.6217}","{""main_baseline_neutral"": 63}","{""main_baseline_neutral"": 0.5533}","{""main_baseline_neutral"": 0.1067}",0.1213,,0.605,1.0,0.595,300,1.0,1.0,0,15,0,7,8,0,0,support_report_2,negative_leaning,high_consensus,9
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,6,75,5,0.9067,0.9135,0.827,1.3333,0.9067,0.6133,1.0,1.0,0.6133,0.4367,0.1766,0.1766,0.8986,0.9833,0.5208,0.4887,0.5376,0.0489,,0.6606,0.4887,0.5068,0.0181,44,76,0,58,44,18,0.595,1.0,0.5737,0.5,0.5374,0.6965,0.5291,0.5065,15,285,240,"{""main_baseline_neutral"": 0.595}","{""main_baseline_neutral"": 60}","{""main_baseline_neutral"": 0.5374}","{""main_baseline_neutral"": 0.0467}",0.0841,,0.5967,1.0,0.5967,300,1.0,1.0,0,13,0,9,2,2,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,7,225,15,0.5867,0.6869,0.265,1.0067,0.5867,0.4617,0.5333,0.5333,0.4617,0.4467,0.015,0.015,0.5729,0.5933,0.4178,0.4888,0.5108,0.022,,0.587,0.4888,0.4854,-0.0034,38,101,0,60,38,41,0.4733,0.5333,0.4702,0.4422,0.5097,0.6812,0.5007,0.4846,15,285,225,"{""main_baseline_neutral"": 0.4733}","{""main_baseline_neutral"": 75}","{""main_baseline_neutral"": 0.5097}","{""main_baseline_neutral"": 0.07}",-0.0289,,0.5183,0.7931,0.54,300,1.0,1.0,6,6,0,9,0,3,0,split,mixed,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,8,75,5,0.9067,0.9135,0.827,1.4706,0.9067,0.64,1.0,1.0,0.64,0.435,0.205,0.205,0.9,0.9914,0.5558,0.4894,0.5424,0.053,,0.6737,0.4894,0.5109,0.0215,49,92,0,57,49,35,0.615,1.0,0.5947,0.5269,0.5428,0.7187,0.5335,0.5112,15,285,242,"{""main_baseline_neutral"": 0.615}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.5428}","{""main_baseline_neutral"": 0.0533}",0.1208,,0.605,1.0,0.5933,300,1.0,1.0,0,14,0,8,2,4,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,9,165,11,0.8606,0.8673,0.7306,1.1959,0.8606,0.68,1.0,1.0,0.68,0.455,0.225,0.225,0.8451,0.9706,0.5948,0.4929,0.567,0.0741,,0.7383,0.4929,0.5168,0.0239,39,112,0,66,39,46,0.65,1.0,0.6316,0.556,0.5663,0.8703,0.5503,0.516,15,285,232,"{""main_baseline_neutral"": 0.65}","{""main_baseline_neutral"": 68}","{""main_baseline_neutral"": 0.5663}","{""main_baseline_neutral"": 0.1}",0.1398,,0.6217,1.0,0.605,300,,,0,12,0,9,0,3,0,support_report_2,negative_leaning,high_consensus,11
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,10,75,5,0.8933,0.9135,0.827,1.1,0.8933,0.63,1.0,1.0,0.63,0.44,0.19,0.19,0.9,0.9818,0.551,0.4914,0.5421,0.0507,,0.6831,0.4914,0.5104,0.019,42,82,0,53,42,29,0.6033,1.0,0.5825,0.5184,0.5418,0.7267,0.5321,0.5106,15,285,245,"{""main_baseline_neutral"": 0.6033}","{""main_baseline_neutral"": 55}","{""main_baseline_neutral"": 0.5418}","{""main_baseline_neutral"": 0.07}",0.111,,0.5933,1.0,0.5833,300,1.0,1.0,0,14,0,6,3,5,0,support_report_2,negative_leaning,high_consensus,5
