experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4934,0.5369,0.4911
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,300,15,285,13,7,6,0,0,2,0.5333,0.5385,0.0769,1.0,6,7,5,t1_e9,0.6,0.4968,0.5274,0.4951
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,300,15,285,15,2,11,2,0,0,0.9333,0.9333,0.8667,1.3333,1,14,3,t1_e13,0.6636363636363636,0.5048,0.6254,0.4985
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,300,15,285,12,1,6,5,0,3,0.8667,0.9167,0.8333,1.1429,1,11,3,t1_e13,0.8189300411522635,0.514,0.626,0.5081
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,300,15,285,14,5,7,2,0,1,1.0,1.0,1.0,1.1667,0,14,2,t1_e13,0.837742504409171,0.5245,0.674,0.5166
main,influenza_a,high_interaction,main_baseline_neutral,none,2,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4933,0.5411,0.4908
main,influenza_a,high_interaction,main_baseline_neutral,none,2,2,300,15,285,15,7,4,4,0,0,1.0,1.0,1.0,4.0,0,15,5,t1_e9,0.8,0.5039,0.6386,0.4968
main,influenza_a,high_interaction,main_baseline_neutral,none,2,3,300,15,285,15,9,5,1,0,0,1.0,1.0,1.0,1.4,0,15,3,t1_e12,0.914141414141414,0.5156,0.6583,0.5081
main,influenza_a,high_interaction,main_baseline_neutral,none,2,4,300,15,285,13,1,6,6,0,2,1.0,1.0,1.0,2.3333,0,13,3,t1_e12,0.9436363636363636,0.5274,0.6681,0.52
main,influenza_a,high_interaction,main_baseline_neutral,none,2,5,300,15,285,15,2,8,5,0,0,1.0,1.0,1.0,0.625,0,15,3,t1_e12,0.9681897050318105,0.5389,0.7316,0.5288
main,influenza_a,high_interaction,main_baseline_neutral,none,3,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4917,0.5385,0.4892
main,influenza_a,high_interaction,main_baseline_neutral,none,3,2,300,15,285,15,8,5,2,0,0,0.4667,0.5333,-0.0667,0.0,8,7,5,t1_e9,0.8,0.4971,0.5369,0.495
main,influenza_a,high_interaction,main_baseline_neutral,none,3,3,300,15,285,11,6,2,3,0,4,0.5333,0.6364,0.2727,1.5,4,7,2,t1_e11,0.4333333333333333,0.4983,0.5792,0.494
main,influenza_a,high_interaction,main_baseline_neutral,none,3,4,300,15,285,13,4,4,5,0,2,0.6667,0.6154,0.2308,1.3636,5,8,2,t1_e11,0.4902597402597402,0.5018,0.5853,0.4974
main,influenza_a,high_interaction,main_baseline_neutral,none,3,5,300,15,285,13,5,3,5,0,2,0.5333,0.6154,0.2308,0.8333,5,8,2,t1_e11,0.4692307692307692,0.5033,0.5945,0.4985
main,influenza_a,high_interaction,main_baseline_neutral,none,3,6,300,15,285,15,5,6,4,0,0,0.9333,0.9333,0.8667,1.3077,1,14,2,t1_e10,0.540474828375286,0.5089,0.702,0.4988
main,influenza_a,high_interaction,main_baseline_neutral,none,3,7,300,15,285,14,4,10,0,0,1,0.7333,0.7857,0.5714,1.2308,3,11,2,t1_e10,0.6318587919038584,0.5138,0.6293,0.5078
main,influenza_a,high_interaction,main_baseline_neutral,none,3,8,300,15,285,15,2,9,4,0,0,1.0,1.0,1.0,0.9231,0,15,2,t1_e10,0.6886657101865136,0.5208,0.7777,0.5073
main,influenza_a,high_interaction,main_baseline_neutral,none,3,9,300,15,285,14,1,9,4,0,1,0.8667,0.8571,0.7143,0.4615,2,12,2,t1_e10,0.7555555555555556,0.5278,0.7043,0.5185
main,influenza_a,high_interaction,main_baseline_neutral,none,3,10,300,15,285,15,4,10,1,0,0,1.0,1.0,1.0,0.8462,0,15,2,t1_e10,0.785421888053467,0.5355,0.8109,0.521
main,influenza_a,high_interaction,main_baseline_neutral,none,3,11,300,15,285,15,4,10,1,0,0,1.0,1.0,1.0,0.9231,0,15,2,t1_e10,0.8139355742296919,0.5438,0.8102,0.5298
main,influenza_a,high_interaction,main_baseline_neutral,none,3,12,300,15,285,14,2,10,2,0,1,1.0,1.0,1.0,0.1538,0,14,2,t1_e10,0.8364021890807605,0.5511,0.8804,0.5337
main,influenza_a,high_interaction,main_baseline_neutral,none,4,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4941,0.5427,0.4916
