experiment_family,scenario_name,condition_name,persona_name,agent_persona_name,chat_atmosphere,repeat_index,phase,timestep,agent_id,was_ever_active,active_count,visible_hyperedge_ids,dominant_hyperedge_id,visible_negative_pressure,latent_neg_tendency,final_choice,credible_choice,share_choice,comment_choice,nsb,cb,sb,eb_probe,probe_mode,reason
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_001,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4674,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_002,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.511,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_003,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.529,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_004,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5315,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_005,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4856,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_006,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4632,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_007,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4638,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_008,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4579,positive,neutral,none,neutral,0.0,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_009,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4592,positive,neutral,none,neutral,0.0,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_010,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4688,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_011,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4859,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_012,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5271,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_013,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4681,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_014,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4908,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_015,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4857,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_016,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4496,positive,neutral,none,neutral,0.0,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_017,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4683,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_018,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4788,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_019,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4905,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_020,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5347,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_021,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5355,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_022,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5261,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_023,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5293,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_024,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4768,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_025,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4739,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_026,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5183,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_027,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.5292,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_028,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4901,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_029,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4779,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_030,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4871,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_031,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4628,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_032,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4831,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,1,entry,0,agent_033,False,0,seed_1|seed_2|seed_3|seed_4,seed_4,,0.4947,neutral,neutral,none,neutral,0.5,0.5,,0.5,rule,rule_probe_from_visible_hyperedges
