experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,1,180,12,0.6389,0.8081,0.327,1.25,0.6389,0.455,1.0,1.0,0.455,0.4383,0.0167,0.0167,0.6568,0.7132,0.3793,0.4901,0.5072,0.0171,,0.6115,0.4901,0.4766,-0.0135,51,117,0,61,51,56,0.475,1.0,0.4474,0.4116,0.5089,0.7711,0.4951,0.4796,15,285,232,"{""main_baseline_neutral"": 0.475}","{""main_baseline_neutral"": 68}","{""main_baseline_neutral"": 0.5089}","{""main_baseline_neutral"": 0.0567}",-0.059,,0.52,1.0,0.5517,300,1.0,1.0,0,15,0,8,6,1,0,support_report_2,negative_leaning,high_consensus,12
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,2,75,5,0.8933,0.9135,0.827,1.3684,0.8933,0.6467,0.9333,0.9333,0.6467,0.45,0.1967,0.1967,0.9028,0.9911,0.5676,0.4914,0.5421,0.0507,,0.672,0.4914,0.5122,0.0208,40,96,0,55,40,41,0.61,0.9333,0.593,0.5266,0.5432,0.7138,0.5342,0.5125,15,285,244,"{""main_baseline_neutral"": 0.61}","{""main_baseline_neutral"": 56}","{""main_baseline_neutral"": 0.5432}","{""main_baseline_neutral"": 0.0633}",0.1176,,0.605,1.0,0.59,300,1.0,1.0,0,14,0,8,1,5,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,3,210,14,0.7381,0.8158,0.5272,1.0929,0.7381,0.6033,0.9333,0.9333,0.6033,0.435,0.1683,0.1683,0.7263,0.8429,0.5304,0.4895,0.5495,0.06,,0.6954,0.4895,0.5051,0.0156,43,90,0,66,43,24,0.5967,0.9333,0.5789,0.5174,0.551,0.8111,0.5373,0.5072,15,285,230,"{""main_baseline_neutral"": 0.5967}","{""main_baseline_neutral"": 70}","{""main_baseline_neutral"": 0.551}","{""main_baseline_neutral"": 0.0967}",0.0954,,0.595,1.0,0.5883,300,0.9333,0.8667,1,14,0,7,5,3,0,support_report_2,negative_leaning,high_consensus,14
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,4,75,5,0.88,0.8794,0.7589,1.2,0.88,0.6083,1.0,1.0,0.6083,0.4633,0.145,0.145,0.875,0.9727,0.5265,0.4902,0.5336,0.0434,,0.6604,0.4902,0.5052,0.015,32,89,0,54,32,35,0.59,1.0,0.5684,0.502,0.5351,0.7125,0.5257,0.506,15,285,245,"{""main_baseline_neutral"": 0.59}","{""main_baseline_neutral"": 55}","{""main_baseline_neutral"": 0.5351}","{""main_baseline_neutral"": 0.04}",0.0632,,0.5917,1.0,0.5867,300,1.0,1.0,0,15,0,7,3,5,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,5,150,10,0.8133,0.843,0.6834,1.3333,0.8133,0.6817,1.0,1.0,0.6817,0.4483,0.2334,0.2334,0.8162,0.947,0.6068,0.4911,0.5592,0.0681,,0.7121,0.4911,0.516,0.0249,41,113,0,59,41,54,0.6383,1.0,0.6193,0.5556,0.5588,0.8754,0.5422,0.5154,15,285,234,"{""main_baseline_neutral"": 0.6383}","{""main_baseline_neutral"": 66}","{""main_baseline_neutral"": 0.5588}","{""main_baseline_neutral"": 0.0967}",0.1585,,0.6133,1.0,0.5917,300,1.0,1.0,0,12,0,8,0,4,0,support_report_2,negative_leaning,high_consensus,10
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,6,135,9,0.6222,0.7589,0.4033,1.1948,0.6222,0.5017,0.9333,0.9333,0.5017,0.4367,0.065,0.065,0.6724,0.7414,0.4442,0.4887,0.5123,0.0236,,0.6159,0.4887,0.4875,-0.0012,44,77,0,48,44,29,0.5217,0.9333,0.5,0.4669,0.5122,0.692,0.5027,0.4873,15,285,242,"{""main_baseline_neutral"": 0.5217}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.5122}","{""main_baseline_neutral"": 0.06}",0.0075,,0.5467,1.0,0.5483,300,0.9286,0.8571,1,13,0,9,1,4,0,support_report_2,negative_leaning,high_consensus,9
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,7,105,7,0.8,0.8587,0.5664,1.5952,0.8,0.6183,1.0,1.0,0.6183,0.4467,0.1716,0.1716,0.7935,0.9524,0.5295,0.4888,0.5433,0.0545,,0.6742,0.4888,0.5085,0.0197,38,85,0,57,38,28,0.605,1.0,0.5842,0.5127,0.5421,0.7421,0.5315,0.5077,15,285,237,"{""main_baseline_neutral"": 0.605}","{""main_baseline_neutral"": 63}","{""main_baseline_neutral"": 0.5421}","{""main_baseline_neutral"": 0.0767}",0.0828,,0.6,1.0,0.5933,300,1.0,1.0,0,14,0,9,2,3,0,support_report_2,negative_leaning,high_consensus,7
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,8,90,6,0.7667,0.7806,0.4871,1.5161,0.7667,0.5933,1.0,1.0,0.5933,0.435,0.1583,0.1583,0.7952,0.9068,0.5166,0.4894,0.5295,0.0401,,0.6374,0.4894,0.503,0.0136,49,86,0,54,49,32,0.5833,1.0,0.5614,0.5021,0.5299,0.7038,0.5207,0.503,15,285,241,"{""main_baseline_neutral"": 0.5833}","{""main_baseline_neutral"": 59}","{""main_baseline_neutral"": 0.5299}","{""main_baseline_neutral"": 0.0533}",0.0816,,0.585,1.0,0.57,300,1.0,1.0,0,15,0,10,1,4,0,support_report_2,negative_leaning,high_consensus,6
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,9,225,15,0.4667,0.7413,0.0091,0.9484,0.4667,0.4233,0.9333,0.9333,0.4233,0.455,-0.0317,-0.0317,0.4654,0.5214,0.3935,0.4929,0.4957,0.0028,,0.5465,0.4929,0.4802,-0.0127,39,112,0,63,39,49,0.4417,0.9333,0.4158,0.4109,0.4948,0.691,0.4845,0.4789,15,285,230,"{""main_baseline_neutral"": 0.4417}","{""main_baseline_neutral"": 70}","{""main_baseline_neutral"": 0.4948}","{""main_baseline_neutral"": 0.0367}",-0.0615,,0.485,0.7391,0.5267,300,0.9333,0.8667,1,14,0,10,5,0,0,support_report_2,negative_leaning,high_consensus,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,10,135,9,0.7852,0.8018,0.5886,0.9459,0.7852,0.5917,1.0,1.0,0.5917,0.44,0.1517,0.1517,0.7823,0.9098,0.5105,0.4914,0.5416,0.0502,,0.6936,0.4914,0.5029,0.0115,42,89,0,56,42,33,0.5867,1.0,0.5649,0.5,0.5414,0.809,0.5273,0.5038,15,285,239,"{""main_baseline_neutral"": 0.5867}","{""main_baseline_neutral"": 61}","{""main_baseline_neutral"": 0.5414}","{""main_baseline_neutral"": 0.09}",0.0705,,0.5883,1.0,0.5817,300,1.0,1.0,0,14,0,9,3,2,0,support_report_2,negative_leaning,high_consensus,9
