experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,1,90,6,0.8444,0.8544,0.6864,1.1818,0.8444,0.5933,1.0,1.0,0.5933,0.4383,0.155,0.155,0.8523,0.9561,0.5082,0.4901,0.5351,0.045,,0.6687,0.4901,0.5038,0.0137,51,86,0,54,51,32,0.59,1.0,0.5684,0.5041,0.5368,0.7456,0.5259,0.5061,15,285,243,"{""main_baseline_neutral"": 0.59}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.5368}","{""main_baseline_neutral"": 0.06}",0.0699,,0.5883,1.0,0.5833,300,1.0,1.0,0,15,0,10,2,3,0,support_report_2,negative_leaning,high_consensus,6
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,2,75,5,0.9067,0.9123,0.8246,1.2273,0.9067,0.6383,1.0,1.0,0.6383,0.45,0.1883,0.1883,0.9,0.9906,0.5628,0.4914,0.5425,0.0511,,0.6846,0.4914,0.512,0.0206,40,95,0,52,40,43,0.6083,1.0,0.5877,0.5263,0.5436,0.7361,0.5334,0.5124,15,285,247,"{""main_baseline_neutral"": 0.6083}","{""main_baseline_neutral"": 53}","{""main_baseline_neutral"": 0.5436}","{""main_baseline_neutral"": 0.0733}",0.1128,,0.6017,1.0,0.5867,300,1.0,1.0,0,14,0,9,1,4,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,3,135,9,0.8519,0.8417,0.6138,0.9577,0.8519,0.645,1.0,1.0,0.645,0.435,0.21,0.21,0.8468,0.9688,0.5572,0.4895,0.5568,0.0673,,0.7228,0.4895,0.5118,0.0223,43,93,0,62,43,31,0.64,1.0,0.6211,0.5508,0.558,0.8153,0.5444,0.5133,15,285,236,"{""main_baseline_neutral"": 0.64}","{""main_baseline_neutral"": 64}","{""main_baseline_neutral"": 0.558}","{""main_baseline_neutral"": 0.11}",0.1222,,0.61,1.0,0.5983,300,1.0,1.0,0,15,0,12,0,3,0,support_report_2,negative_leaning,high_consensus,9
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,4,75,5,0.88,0.9135,0.827,1.2174,0.88,0.6417,1.0,1.0,0.6417,0.4633,0.1784,0.1784,0.9028,0.9712,0.5726,0.4902,0.5411,0.0509,,0.684,0.4902,0.5111,0.0209,32,91,0,51,32,40,0.5967,1.0,0.5754,0.5161,0.5425,0.7355,0.5324,0.5119,15,285,248,"{""main_baseline_neutral"": 0.5967}","{""main_baseline_neutral"": 52}","{""main_baseline_neutral"": 0.5425}","{""main_baseline_neutral"": 0.08}",0.1093,,0.5933,1.0,0.5833,300,1.0,1.0,0,15,0,10,0,5,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,5,75,5,0.88,0.9021,0.8042,1.4091,0.88,0.645,1.0,1.0,0.645,0.4483,0.1967,0.1967,0.8696,0.9717,0.5749,0.4911,0.5417,0.0506,,0.6806,0.4911,0.5119,0.0208,41,99,0,50,41,49,0.6,1.0,0.5789,0.5223,0.5413,0.7458,0.5305,0.5112,15,285,247,"{""main_baseline_neutral"": 0.6}","{""main_baseline_neutral"": 53}","{""main_baseline_neutral"": 0.5413}","{""main_baseline_neutral"": 0.0533}",0.1266,,0.5917,1.0,0.5817,300,1.0,1.0,0,14,0,10,1,3,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,6,90,6,0.8778,0.907,0.814,1.5,0.8778,0.6183,1.0,1.0,0.6183,0.4367,0.1816,0.1816,0.875,0.9722,0.5407,0.4887,0.5469,0.0582,,0.7057,0.4887,0.5121,0.0234,44,75,0,51,44,24,0.6067,1.0,0.586,0.5285,0.5468,0.7692,0.5351,0.512,15,285,246,"{""main_baseline_neutral"": 0.6067}","{""main_baseline_neutral"": 54}","{""main_baseline_neutral"": 0.5468}","{""main_baseline_neutral"": 0.0867}",0.104,,0.5867,1.0,0.585,300,1.0,1.0,0,12,0,7,0,5,0,support_report_2,negative_leaning,high_consensus,6
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,7,75,5,0.88,0.875,0.7234,1.5,0.88,0.615,1.0,1.0,0.615,0.4467,0.1683,0.1683,0.875,0.9818,0.5327,0.4888,0.5383,0.0495,,0.6741,0.4888,0.5077,0.0189,38,85,0,53,38,32,0.5967,1.0,0.5754,0.5102,0.537,0.7239,0.5272,0.5069,15,285,245,"{""main_baseline_neutral"": 0.5967}","{""main_baseline_neutral"": 55}","{""main_baseline_neutral"": 0.537}","{""main_baseline_neutral"": 0.05}",0.086,,0.5917,1.0,0.5883,300,1.0,1.0,0,15,0,13,0,2,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,8,75,5,0.84,0.8414,0.6829,1.6818,0.84,0.61,0.9333,0.9333,0.61,0.435,0.175,0.175,0.8382,0.9623,0.5344,0.4894,0.5337,0.0443,,0.6611,0.4894,0.5064,0.017,49,84,0,51,49,33,0.5833,0.9333,0.5649,0.5061,0.5341,0.7193,0.5244,0.5066,15,285,247,"{""main_baseline_neutral"": 0.5833}","{""main_baseline_neutral"": 53}","{""main_baseline_neutral"": 0.5341}","{""main_baseline_neutral"": 0.0433}",0.0994,,0.59,1.0,0.58,300,0.9333,0.8667,1,14,0,10,0,5,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,9,225,15,0.6578,0.7562,0.4047,1.245,0.6578,0.6667,0.8667,0.8667,0.6667,0.455,0.2117,0.2117,0.6636,0.8514,0.6062,0.4929,0.5581,0.0652,,0.6829,0.4929,0.5173,0.0244,39,120,0,66,39,54,0.6317,0.8667,0.6193,0.5708,0.5574,0.8512,0.5419,0.5162,15,285,226,"{""main_baseline_neutral"": 0.6317}","{""main_baseline_neutral"": 74}","{""main_baseline_neutral"": 0.5574}","{""main_baseline_neutral"": 0.09}",0.1512,,0.615,1.0,0.5883,300,0.8571,0.7143,2,12,0,10,1,3,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,10,75,5,0.8533,0.8719,0.7439,1.85,0.8533,0.61,1.0,1.0,0.61,0.44,0.17,0.17,0.8382,0.9727,0.5286,0.4914,0.5347,0.0433,,0.6648,0.4914,0.5055,0.0141,42,80,0,52,42,28,0.5883,1.0,0.5667,0.502,0.5345,0.7184,0.5248,0.5058,15,285,245,"{""main_baseline_neutral"": 0.5883}","{""main_baseline_neutral"": 55}","{""main_baseline_neutral"": 0.5345}","{""main_baseline_neutral"": 0.04}",0.0886,,0.5883,1.0,0.585,300,1.0,1.0,0,15,0,10,1,4,0,support_report_2,negative_leaning,high_consensus,5
