experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4934,0.5369,0.4911
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,300,15,285,14,2,7,5,0,1,0.9333,0.9286,0.8571,1.5,1,13,5,t1_e6,0.6,0.5002,0.6079,0.4946
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,300,15,285,14,3,10,1,0,1,0.6667,0.7143,0.4286,1.25,4,10,3,t1_e15,0.7560975609756098,0.5073,0.5829,0.5033
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,300,15,285,15,3,10,2,0,0,0.9333,0.9333,0.8667,0.5,1,14,2,t1_e15,0.7666666666666666,0.5162,0.6561,0.5089
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,300,15,285,15,1,13,1,0,0,1.0,1.0,1.0,1.875,0,15,2,t1_e15,0.8268749999999999,0.5266,0.6812,0.5184
main,influenza_a,high_interaction,main_baseline_neutral,none,1,6,300,15,285,15,2,10,3,0,0,1.0,1.0,1.0,1.0,0,15,2,t1_e15,0.8755747126436781,0.5368,0.7456,0.5259
main,influenza_a,high_interaction,main_baseline_neutral,none,2,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4933,0.5411,0.4908
main,influenza_a,high_interaction,main_baseline_neutral,none,2,2,300,15,285,12,2,5,5,0,3,1.0,1.0,1.0,,0,12,5,t1_e9,1.0,0.5065,0.6526,0.4988
main,influenza_a,high_interaction,main_baseline_neutral,none,2,3,300,15,285,14,2,9,3,0,1,1.0,1.0,1.0,1.8,0,14,3,t1_e11,1.0,0.5193,0.6664,0.5115
main,influenza_a,high_interaction,main_baseline_neutral,none,2,4,300,15,285,15,1,8,6,0,0,1.0,1.0,1.0,1.25,0,15,3,t1_e11,1.0,0.5316,0.6958,0.5229
main,influenza_a,high_interaction,main_baseline_neutral,none,2,5,300,15,285,14,1,9,4,0,1,1.0,1.0,1.0,0.8889,0,14,3,t1_e11,1.0,0.5436,0.7361,0.5334
main,influenza_a,high_interaction,main_baseline_neutral,none,3,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4917,0.5385,0.4892
main,influenza_a,high_interaction,main_baseline_neutral,none,3,2,300,15,285,11,3,4,4,0,4,0.7333,0.7273,0.4545,0.0,3,8,5,t1_e9,0.8,0.4995,0.5909,0.4947
main,influenza_a,high_interaction,main_baseline_neutral,none,3,3,300,15,285,14,3,11,0,0,1,0.8,0.7857,0.5714,2.0,3,11,2,t1_e7,0.6517857142857143,0.506,0.5907,0.5015
main,influenza_a,high_interaction,main_baseline_neutral,none,3,4,300,15,285,11,0,8,3,0,4,0.9333,0.9091,0.8182,1.8333,1,10,2,t1_e8,0.6916666666666667,0.5145,0.6475,0.5075
main,influenza_a,high_interaction,main_baseline_neutral,none,3,5,300,15,285,15,1,11,3,0,0,0.9333,0.9333,0.8667,0.6667,1,14,2,t1_e7,0.7743388429752067,0.5236,0.6621,0.5163
main,influenza_a,high_interaction,main_baseline_neutral,none,3,6,300,15,285,15,0,10,5,0,0,0.8,0.8,0.6,1.3846,3,12,2,t1_e7,0.8225601604278074,0.5312,0.6774,0.5235
