experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,1,75,5,0.8667,0.9113,0.8225,1.0455,0.8667,0.6033,1.0,1.0,0.6033,0.4383,0.165,0.165,0.8889,0.9528,0.5283,0.4901,0.5386,0.0485,,0.6766,0.4901,0.5089,0.0188,51,82,0,48,51,34,0.585,1.0,0.5632,0.5081,0.5403,0.7613,0.5287,0.5112,15,285,247,"{""main_baseline_neutral"": 0.585}","{""main_baseline_neutral"": 53}","{""main_baseline_neutral"": 0.5403}","{""main_baseline_neutral"": 0.0833}",0.09,,0.5833,1.0,0.5783,300,1.0,1.0,0,15,0,2,0,13,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,2,75,5,0.8133,0.8842,0.7684,1.3636,0.8133,0.615,1.0,1.0,0.615,0.45,0.165,0.165,0.8676,0.9717,0.5385,0.4914,0.5361,0.0447,,0.6603,0.4914,0.5094,0.018,40,87,0,50,40,37,0.5933,1.0,0.5719,0.5142,0.5372,0.752,0.5259,0.5099,15,285,247,"{""main_baseline_neutral"": 0.5933}","{""main_baseline_neutral"": 53}","{""main_baseline_neutral"": 0.5372}","{""main_baseline_neutral"": 0.04}",0.0885,,0.5867,1.0,0.5783,300,1.0,1.0,0,15,0,1,0,14,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,3,225,15,0.2844,0.7243,-0.1552,0.2692,0.2844,0.15,0.4,0.4,0.15,0.435,-0.285,-0.285,0.3048,0.1159,0.1602,0.4895,0.432,-0.0575,,0.3829,0.4895,0.4466,-0.0429,43,226,0,69,43,157,0.15,0.4,0.1368,0.1602,0.4331,0.5205,0.4285,0.4478,15,285,231,"{""main_baseline_neutral"": 0.15}","{""main_baseline_neutral"": 69}","{""main_baseline_neutral"": 0.4331}","{""main_baseline_neutral"": 0.0233}",-0.2748,,0.255,0.2,0.435,300,0.6,-0.2,9,6,0,0,4,11,0,support_report_1,positive_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,4,105,7,0.7619,0.8201,0.5646,1.3556,0.7619,0.59,1.0,1.0,0.59,0.4633,0.1267,0.1267,0.8043,0.8917,0.5146,0.4902,0.5317,0.0415,,0.6489,0.4902,0.5024,0.0122,32,88,0,57,32,31,0.58,1.0,0.5579,0.5,0.5331,0.7401,0.5222,0.503,15,285,240,"{""main_baseline_neutral"": 0.58}","{""main_baseline_neutral"": 60}","{""main_baseline_neutral"": 0.5331}","{""main_baseline_neutral"": 0.0633}",0.0513,,0.5867,1.0,0.5733,300,1.0,1.0,0,15,0,1,0,14,0,support_report_2,negative_leaning,high_consensus,7
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,5,225,15,0.6667,0.7578,0.4793,0.6125,0.6667,0.62,0.7333,0.7333,0.62,0.4483,0.1717,0.1717,0.7109,0.7154,0.5936,0.4911,0.5492,0.0581,,0.67,0.4911,0.5158,0.0247,41,104,0,54,41,50,0.5883,0.7333,0.5807,0.5511,0.549,0.793,0.5362,0.5147,15,285,235,"{""main_baseline_neutral"": 0.5883}","{""main_baseline_neutral"": 65}","{""main_baseline_neutral"": 0.549}","{""main_baseline_neutral"": 0.0733}",0.1453,,0.5717,0.9375,0.555,300,0.7143,0.4286,4,10,0,7,0,7,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,6,225,15,0.4844,0.6827,0.1918,0.5796,0.4844,0.4333,0.4,0.4,0.4333,0.4367,-0.0034,-0.0034,0.4952,0.4632,0.4246,0.4887,0.4989,0.0102,,0.5531,0.4887,0.483,-0.0057,44,94,0,57,44,37,0.43,0.4,0.4316,0.4332,0.4988,0.6218,0.4923,0.4822,15,285,232,"{""main_baseline_neutral"": 0.43}","{""main_baseline_neutral"": 68}","{""main_baseline_neutral"": 0.4988}","{""main_baseline_neutral"": 0.0533}",-0.0121,,0.4933,0.6667,0.5167,300,0.5833,-0.1667,7,5,0,8,0,4,0,support_report_1,positive_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,7,75,5,0.8133,0.9029,0.8058,1.1765,0.8133,0.6233,0.9333,0.9333,0.6233,0.4467,0.1766,0.1766,0.873,0.9397,0.5475,0.4888,0.5396,0.0508,,0.661,0.4888,0.5105,0.0217,38,82,0,51,38,31,0.595,0.9333,0.5772,0.5124,0.5383,0.7185,0.5288,0.5095,15,285,242,"{""main_baseline_neutral"": 0.595}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.5383}","{""main_baseline_neutral"": 0.0533}",0.1008,,0.59,1.0,0.58,300,0.9333,0.8667,1,14,0,2,0,13,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,8,75,5,0.76,0.8248,0.6227,1.1429,0.76,0.6,0.9333,0.9333,0.6,0.435,0.165,0.165,0.8033,0.9352,0.5264,0.4894,0.5293,0.0399,,0.6391,0.4894,0.5052,0.0158,49,80,0,47,49,33,0.5733,0.9333,0.5544,0.502,0.5297,0.7064,0.5204,0.5055,15,285,246,"{""main_baseline_neutral"": 0.5733}","{""main_baseline_neutral"": 54}","{""main_baseline_neutral"": 0.5297}","{""main_baseline_neutral"": 0.0367}",0.0914,,0.5817,1.0,0.5717,300,0.9286,0.8571,1,13,0,1,0,13,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,9,225,15,0.6,0.7955,0.4457,0.5633,0.6,0.4617,0.6667,0.6667,0.4617,0.455,0.0067,0.0067,0.6757,0.5896,0.4249,0.4929,0.5147,0.0218,,0.6137,0.4929,0.4863,-0.0066,39,99,0,60,39,39,0.475,0.6667,0.4649,0.4421,0.514,0.7156,0.5034,0.4853,15,285,233,"{""main_baseline_neutral"": 0.475}","{""main_baseline_neutral"": 67}","{""main_baseline_neutral"": 0.514}","{""main_baseline_neutral"": 0.0667}",-0.0301,,0.505,0.8214,0.535,300,0.8,0.6,2,8,0,2,4,4,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,10,75,5,0.7867,0.829,0.577,1.65,0.7867,0.6,1.0,1.0,0.6,0.44,0.16,0.16,0.8387,0.9182,0.5286,0.4914,0.5318,0.0404,,0.6478,0.4914,0.5057,0.0143,42,76,0,48,42,28,0.5783,1.0,0.5561,0.502,0.5315,0.7031,0.5225,0.5059,15,285,245,"{""main_baseline_neutral"": 0.5783}","{""main_baseline_neutral"": 55}","{""main_baseline_neutral"": 0.5315}","{""main_baseline_neutral"": 0.0433}",0.0886,,0.58,1.0,0.575,300,1.0,1.0,0,15,0,1,0,14,0,support_report_2,negative_leaning,high_consensus,5
