experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4934,0.5369,0.4911
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,300,15,285,15,0,14,1,0,0,0.5333,0.5333,0.0667,,7,8,5,t1_e9,1.0,0.5018,0.5547,0.499
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,300,15,285,14,0,11,3,0,1,1.0,1.0,1.0,1.1429,0,14,1,t1_e11,0.5625,0.5088,0.651,0.5013
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,300,15,285,12,0,4,8,0,3,0.6667,0.75,0.5,1.0,3,9,1,t1_e11,0.7666666666666667,0.5149,0.5769,0.5116
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,300,15,285,14,0,10,4,0,1,0.9333,0.9286,0.8571,0.1111,1,13,1,t1_e11,0.7619047619047619,0.5229,0.699,0.5136
main,influenza_a,high_interaction,main_baseline_neutral,none,1,6,300,15,285,13,0,8,5,0,2,0.8667,1.0,1.0,0.8462,0,13,1,t1_e11,0.8035714285714286,0.5315,0.696,0.5229
main,influenza_a,high_interaction,main_baseline_neutral,none,1,7,300,15,285,14,0,6,8,0,1,0.7333,0.7857,0.5714,0.0,3,11,1,t1_e11,0.8405797101449275,0.5391,0.6934,0.531
main,influenza_a,high_interaction,main_baseline_neutral,none,1,8,300,15,285,15,0,5,10,0,0,1.0,1.0,1.0,0.4615,0,15,1,t1_e11,0.8313253012048193,0.5476,0.8168,0.5334
main,influenza_a,high_interaction,main_baseline_neutral,none,1,9,300,15,285,14,0,8,6,0,1,0.9333,0.9286,0.8571,0.2308,1,13,1,t1_e11,0.8571428571428571,0.556,0.8112,0.5426
main,influenza_a,high_interaction,main_baseline_neutral,none,1,10,300,15,285,13,0,3,10,0,2,0.6667,0.6923,0.3846,0.3077,4,9,1,t1_e11,0.8660714285714286,0.5624,0.7134,0.5544
main,influenza_a,high_interaction,main_baseline_neutral,none,1,11,300,15,285,15,0,8,7,0,0,1.0,1.0,1.0,0.6154,0,15,1,t1_e11,0.8480000000000001,0.5697,0.9012,0.5523
main,influenza_a,high_interaction,main_baseline_neutral,none,1,12,300,15,285,15,0,7,8,0,0,0.9333,0.9333,0.8667,0.2308,1,14,1,t1_e11,0.8642857142857143,0.5769,0.8761,0.5611
main,influenza_a,high_interaction,main_baseline_neutral,none,1,13,300,15,285,13,0,8,5,0,2,0.8,0.7692,0.5385,0.2308,3,10,1,t1_e11,0.8709677419354839,0.5828,0.8103,0.5708
main,influenza_a,high_interaction,main_baseline_neutral,none,1,14,300,15,285,15,0,9,6,0,0,0.9333,0.9333,0.8667,0.3077,1,14,1,t1_e11,0.8630952380952381,0.5887,0.9016,0.5722
main,influenza_a,high_interaction,main_baseline_neutral,none,1,15,300,15,285,12,0,8,4,0,3,0.8667,1.0,1.0,0.3077,0,12,1,t1_e11,0.8688524590163934,0.5943,0.8783,0.5793
main,influenza_a,high_interaction,main_baseline_neutral,none,2,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4933,0.5411,0.4908
main,influenza_a,high_interaction,main_baseline_neutral,none,2,2,300,15,285,14,0,11,3,0,1,0.1333,0.8571,-0.7143,,12,2,5,t1_e9,1.0,0.4989,0.5005,0.4988
main,influenza_a,high_interaction,main_baseline_neutral,none,2,3,300,15,285,15,0,9,6,0,0,0.0,1.0,-1.0,3.3333,15,0,1,t1_e11,0.20000000000000004,0.4921,0.4593,0.4938
main,influenza_a,high_interaction,main_baseline_neutral,none,2,4,300,15,285,14,0,4,10,0,1,0.0667,0.9286,-0.8571,0.8462,13,1,1,t1_e11,0.10000000000000002,0.4844,0.4494,0.4863
main,influenza_a,high_interaction,main_baseline_neutral,none,2,5,300,15,285,15,0,4,11,0,0,0.0,1.0,-1.0,0.0,15,0,1,t1_e11,0.09090909090909091,0.4763,0.4118,0.4797
main,influenza_a,high_interaction,main_baseline_neutral,none,3,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4917,0.5385,0.4892
main,influenza_a,high_interaction,main_baseline_neutral,none,3,2,300,15,285,15,0,13,2,0,0,0.2667,0.7333,-0.4667,0.0,11,4,5,t1_e9,1.0,0.4979,0.5247,0.4965
main,influenza_a,high_interaction,main_baseline_neutral,none,3,3,300,15,285,14,0,8,6,0,1,0.4,0.6429,-0.2857,0.5,9,5,1,t1_e11,0.3125,0.4964,0.559,0.4932
main,influenza_a,high_interaction,main_baseline_neutral,none,3,4,300,15,285,15,0,10,5,0,0,0.2667,0.7333,-0.4667,0.0769,11,4,1,t1_e11,0.3333333333333333,0.4943,0.5138,0.4933
main,influenza_a,high_interaction,main_baseline_neutral,none,3,5,300,15,285,13,0,4,9,0,2,0.4,0.5385,-0.0769,0.3,7,6,1,t1_e11,0.3111111111111111,0.4926,0.5855,0.4877
main,influenza_a,high_interaction,main_baseline_neutral,none,3,6,300,15,285,14,0,9,5,0,1,0.4,0.5714,-0.1429,0.0769,8,6,1,t1_e11,0.34482758620689663,0.4911,0.5713,0.4869
main,influenza_a,high_interaction,main_baseline_neutral,none,3,7,300,15,285,11,0,4,7,0,4,0.2,0.7273,-0.4545,0.0,8,3,1,t1_e11,0.3611111111111111,0.4884,0.4959,0.4881
main,influenza_a,high_interaction,main_baseline_neutral,none,3,8,300,15,285,15,0,7,8,0,0,0.4667,0.5333,-0.0667,0.0769,8,7,1,t1_e11,0.3493975903614458,0.4871,0.6179,0.4802
main,influenza_a,high_interaction,main_baseline_neutral,none,3,9,300,15,285,15,0,6,9,0,0,0.4,0.6,-0.2,0.0,9,6,1,t1_e11,0.3673469387755102,0.4854,0.5966,0.4796
main,influenza_a,high_interaction,main_baseline_neutral,none,3,10,300,15,285,12,0,1,11,0,3,0.3333,0.75,-0.5,0.0,9,3,1,t1_e11,0.3716814159292036,0.4829,0.5434,0.4797
main,influenza_a,high_interaction,main_baseline_neutral,none,3,11,300,15,285,15,0,4,11,0,0,0.2667,0.7333,-0.4667,0.0,11,4,1,t1_e11,0.36,0.4803,0.5175,0.4783
main,influenza_a,high_interaction,main_baseline_neutral,none,3,12,300,15,285,14,0,5,9,0,1,0.5333,0.5714,0.1429,0.0,6,8,1,t1_e11,0.35,0.4786,0.6762,0.4682
main,influenza_a,high_interaction,main_baseline_neutral,none,3,13,300,15,285,14,0,10,4,0,1,0.3333,0.7143,-0.4286,0.0,10,4,1,t1_e11,0.37012987012987014,0.4762,0.4919,0.4754
main,influenza_a,high_interaction,main_baseline_neutral,none,3,14,300,15,285,15,0,3,12,0,0,0.3333,0.6667,-0.3333,0.0,10,5,1,t1_e11,0.3630952380952381,0.4739,0.5442,0.4702
main,influenza_a,high_interaction,main_baseline_neutral,none,3,15,300,15,285,13,0,3,10,0,2,0.3333,0.6154,-0.2308,0.0,8,5,1,t1_e11,0.36065573770491804,0.4715,0.5322,0.4683
main,influenza_a,high_interaction,main_baseline_neutral,none,4,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4941,0.5427,0.4916
main,influenza_a,high_interaction,main_baseline_neutral,none,4,2,300,15,285,15,0,15,0,0,0,0.3333,0.6667,-0.3333,0.0,10,5,5,t1_e9,1.0,0.5009,0.5402,0.4989
main,influenza_a,high_interaction,main_baseline_neutral,none,4,3,300,15,285,14,0,10,4,0,1,0.2667,0.7143,-0.4286,1.7143,10,4,1,t1_e11,0.375,0.4988,0.5617,0.4955
main,influenza_a,high_interaction,main_baseline_neutral,none,4,4,300,15,285,14,0,6,8,0,1,0.3333,0.6429,-0.2857,0.5,9,5,1,t1_e11,0.3333333333333333,0.4967,0.5663,0.493
main,influenza_a,high_interaction,main_baseline_neutral,none,4,5,300,15,285,15,0,4,11,0,0,0.2,0.8,-0.6,0.0,12,3,1,t1_e11,0.3409090909090909,0.4932,0.5208,0.4917
main,influenza_a,high_interaction,main_baseline_neutral,none,4,6,300,15,285,15,0,5,10,0,0,0.4,0.6,-0.2,0.0,9,6,1,t1_e11,0.3050847457627119,0.491,0.5872,0.486
main,influenza_a,high_interaction,main_baseline_neutral,none,4,7,300,15,285,14,0,4,10,0,1,0.2667,0.7143,-0.4286,0.0,10,4,1,t1_e11,0.32432432432432434,0.4874,0.5273,0.4853
main,influenza_a,high_interaction,main_baseline_neutral,none,4,8,300,15,285,14,0,6,8,0,1,0.3333,0.6429,-0.2857,0.0,9,5,1,t1_e11,0.3181818181818182,0.4843,0.5589,0.4804
main,influenza_a,high_interaction,main_baseline_neutral,none,4,9,300,15,285,14,0,4,10,0,1,0.2667,0.7143,-0.4286,0.0,10,4,1,t1_e11,0.3235294117647059,0.481,0.521,0.4789
main,influenza_a,high_interaction,main_baseline_neutral,none,4,10,300,15,285,12,0,1,11,0,3,0.2,0.9167,-0.8333,0.0,11,1,1,t1_e11,0.31896551724137934,0.477,0.4662,0.4775
main,influenza_a,high_interaction,main_baseline_neutral,none,4,11,300,15,285,14,0,3,11,0,1,0.2,0.7857,-0.5714,0.0,11,3,1,t1_e11,0.296875,0.4729,0.4552,0.4739
main,influenza_a,high_interaction,main_baseline_neutral,none,4,12,300,15,285,15,0,4,11,0,0,0.4,0.6,-0.2,0.0,9,6,1,t1_e11,0.2887323943661972,0.4697,0.5871,0.4636
main,influenza_a,high_interaction,main_baseline_neutral,none,4,13,300,15,285,15,0,2,13,0,0,0.0667,0.9333,-0.8667,0.0,14,1,1,t1_e11,0.2993630573248408,0.4647,0.3189,0.4724
main,influenza_a,high_interaction,main_baseline_neutral,none,4,14,300,15,285,14,0,6,8,0,1,0.4,0.5714,-0.1429,0.0,8,6,1,t1_e11,0.27906976744186046,0.4618,0.5731,0.4559
main,influenza_a,high_interaction,main_baseline_neutral,none,4,15,300,15,285,14,0,4,10,0,1,0.2,0.7857,-0.5714,0.0,11,3,1,t1_e11,0.2903225806451613,0.4572,0.3963,0.4604
main,influenza_a,high_interaction,main_baseline_neutral,none,5,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4932,0.5432,0.4906
main,influenza_a,high_interaction,main_baseline_neutral,none,5,2,300,15,285,15,0,13,2,0,0,0.3333,0.6667,-0.3333,0.0,10,5,5,t1_e9,1.0,0.5004,0.5339,0.4986
main,influenza_a,high_interaction,main_baseline_neutral,none,5,3,300,15,285,14,0,9,5,0,1,0.4667,0.5714,-0.1429,0.7,8,6,1,t1_e11,0.375,0.5002,0.593,0.4953
main,influenza_a,high_interaction,main_baseline_neutral,none,5,4,300,15,285,14,0,9,5,0,1,0.5333,0.5,0.0,0.4167,7,7,1,t1_e11,0.4,0.5003,0.6258,0.4937
main,influenza_a,high_interaction,main_baseline_neutral,none,5,5,300,15,285,14,0,4,10,0,1,0.3333,0.6429,-0.2857,0.0909,9,5,1,t1_e11,0.4318181818181818,0.4986,0.5742,0.4946
main,influenza_a,high_interaction,main_baseline_neutral,none,5,6,300,15,285,14,0,10,4,0,1,0.4667,0.5,0.0,0.0,7,7,1,t1_e11,0.41379310344827586,0.4981,0.6225,0.4916
main,influenza_a,high_interaction,main_baseline_neutral,none,5,7,300,15,285,12,0,6,6,0,3,0.4,0.6667,-0.3333,0.0,8,4,1,t1_e11,0.4305555555555556,0.497,0.6003,0.4915
main,influenza_a,high_interaction,main_baseline_neutral,none,5,8,300,15,285,11,1,5,5,0,4,0.5333,0.6364,0.2727,0.0769,4,7,1,t1_e11,0.4166666666666667,0.4966,0.6728,0.4873
main,influenza_a,high_interaction,main_baseline_neutral,none,5,9,300,15,285,14,0,8,6,0,1,0.4,0.5714,-0.1429,0.0,8,6,1,t1_e11,0.43617021276595747,0.495,0.6069,0.4891
main,influenza_a,high_interaction,main_baseline_neutral,none,5,10,300,15,285,13,0,3,10,0,2,0.2667,0.7692,-0.5385,0.0,10,3,1,t1_e11,0.4351851851851852,0.4927,0.5215,0.4912
main,influenza_a,high_interaction,main_baseline_neutral,none,5,11,300,15,285,14,0,5,9,0,1,0.4667,0.5714,-0.1429,0.0769,8,6,1,t1_e11,0.41322314049586784,0.4921,0.6352,0.4846
main,influenza_a,high_interaction,main_baseline_neutral,none,5,12,300,15,285,14,0,6,8,0,1,0.4667,0.5,0.0,0.0,7,7,1,t1_e11,0.4148148148148148,0.4909,0.6514,0.4825
main,influenza_a,high_interaction,main_baseline_neutral,none,5,13,300,15,285,14,0,3,11,0,1,0.2667,0.7143,-0.4286,0.0,10,4,1,t1_e11,0.4228187919463087,0.4884,0.4936,0.4881
main,influenza_a,high_interaction,main_baseline_neutral,none,5,14,300,15,285,15,0,6,9,0,0,0.4667,0.5333,-0.0667,0.0,8,7,1,t1_e11,0.4110429447852761,0.487,0.6348,0.4793
main,influenza_a,high_interaction,main_baseline_neutral,none,5,15,300,15,285,15,0,4,11,0,0,0.2667,0.7333,-0.4667,0.0,11,4,1,t1_e11,0.4157303370786517,0.485,0.4969,0.4843
main,influenza_a,high_interaction,main_baseline_neutral,none,6,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4916,0.5448,0.4888
main,influenza_a,high_interaction,main_baseline_neutral,none,6,2,300,15,285,15,0,13,2,0,0,0.3333,0.6,-0.2,0.0,9,6,5,t1_e9,1.0,0.4983,0.5274,0.4967
main,influenza_a,high_interaction,main_baseline_neutral,none,6,3,300,15,285,14,0,11,3,0,1,0.4667,0.5714,-0.1429,0.0,8,6,1,t1_e11,0.4375,0.499,0.5915,0.4942
main,influenza_a,high_interaction,main_baseline_neutral,none,6,4,300,15,285,13,0,6,7,0,2,0.4,0.5385,-0.0769,0.0909,7,6,1,t1_e11,0.43333333333333335,0.4993,0.5805,0.495
main,influenza_a,high_interaction,main_baseline_neutral,none,6,5,300,15,285,14,0,5,9,0,1,0.3333,0.6429,-0.2857,0.0,9,5,1,t1_e11,0.441860465116279,0.4988,0.5723,0.4949
main,influenza_a,high_interaction,main_baseline_neutral,none,6,6,300,15,285,15,0,8,7,0,0,0.4667,0.5333,-0.0667,0.1538,8,7,1,t1_e11,0.42105263157894735,0.4983,0.621,0.4919
main,influenza_a,high_interaction,main_baseline_neutral,none,6,7,300,15,285,14,0,10,4,0,1,0.3333,0.6429,-0.2857,0.0,9,5,1,t1_e11,0.4305555555555556,0.4971,0.5743,0.493
main,influenza_a,high_interaction,main_baseline_neutral,none,6,8,300,15,285,14,0,7,7,0,1,0.4667,0.5,0.0,0.0,7,7,1,t1_e11,0.4186046511627907,0.4965,0.6372,0.4891
main,influenza_a,high_interaction,main_baseline_neutral,none,6,9,300,15,285,12,0,7,5,0,3,0.2667,0.6667,-0.3333,0.0,8,4,1,t1_e11,0.43,0.4952,0.5354,0.4931
main,influenza_a,high_interaction,main_baseline_neutral,none,6,10,300,15,285,14,0,10,4,0,1,0.5333,0.5,0.0,0.0,7,7,1,t1_e11,0.41964285714285715,0.4941,0.6851,0.484
main,influenza_a,high_interaction,main_baseline_neutral,none,6,11,300,15,285,15,0,8,7,0,0,0.4667,0.5333,-0.0667,0.2308,8,7,1,t1_e11,0.42857142857142855,0.4934,0.5909,0.4882
main,influenza_a,high_interaction,main_baseline_neutral,none,6,12,300,15,285,13,0,7,6,0,2,0.6,0.6154,0.2308,0.4615,5,8,1,t1_e11,0.4326241134751773,0.4941,0.6059,0.4882
main,influenza_a,high_interaction,main_baseline_neutral,none,6,13,300,15,285,15,0,8,7,0,0,0.4667,0.5333,-0.0667,0.0,8,7,1,t1_e11,0.44805194805194803,0.4936,0.6245,0.4867
main,influenza_a,high_interaction,main_baseline_neutral,none,6,14,300,15,285,15,0,6,9,0,0,0.4,0.6,-0.2,0.0769,9,6,1,t1_e11,0.44970414201183434,0.4933,0.5268,0.4916
main,influenza_a,high_interaction,main_baseline_neutral,none,6,15,300,15,285,14,0,5,9,0,1,0.4667,0.5714,-0.1429,0.0,8,6,1,t1_e11,0.44565217391304346,0.4925,0.6282,0.4854
main,influenza_a,high_interaction,main_baseline_neutral,none,7,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4916,0.5433,0.4888
main,influenza_a,high_interaction,main_baseline_neutral,none,7,2,300,15,285,15,0,13,2,0,0,0.4,0.6,-0.2,0.0,9,6,5,t1_e9,1.0,0.4988,0.5449,0.4964
main,influenza_a,high_interaction,main_baseline_neutral,none,7,3,300,15,285,13,0,9,4,0,2,0.6,0.5385,0.0769,0.0,6,7,1,t1_e11,0.4375,0.5006,0.6171,0.4945
main,influenza_a,high_interaction,main_baseline_neutral,none,7,4,300,15,285,15,0,4,11,0,0,0.4,0.6,-0.2,0.1818,9,6,1,t1_e11,0.4827586206896552,0.501,0.5755,0.4971
