experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,1,75,5,0.2667,0.7515,-0.3549,0.6316,0.2667,0.385,0.1333,0.1333,0.385,0.4383,-0.0533,-0.0533,0.2667,0.3214,0.3996,0.4901,0.4803,-0.0098,,0.4734,0.4901,0.4818,-0.0083,51,97,0,48,51,49,0.4167,0.1333,0.4316,0.4488,0.482,0.426,0.485,0.4849,15,285,244,"{""main_baseline_neutral"": 0.4167}","{""main_baseline_neutral"": 56}","{""main_baseline_neutral"": 0.482}","{""main_baseline_neutral"": 0.0133}",-0.0387,,0.4533,0.4167,0.4967,300,0.8667,-0.7333,13,2,0,0,0,15,0,support_report_1,positive_leaning,discussion_stalled,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,2,75,5,0.9067,0.9135,0.827,0.125,0.9067,0.6367,1.0,1.0,0.6367,0.45,0.1867,0.1867,0.9067,0.9407,0.5622,0.4914,0.5422,0.0508,,0.6671,0.4914,0.5117,0.0203,40,94,0,52,40,42,0.6033,1.0,0.5825,0.5228,0.5433,0.7484,0.5325,0.5122,15,285,241,"{""main_baseline_neutral"": 0.6033}","{""main_baseline_neutral"": 59}","{""main_baseline_neutral"": 0.5433}","{""main_baseline_neutral"": 0.08}",0.1122,,0.6,1.0,0.5867,300,1.0,1.0,0,15,0,0,0,15,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,3,75,5,0.2133,0.7591,-0.3755,0.7222,0.2133,0.3667,0.1333,0.1333,0.3667,0.435,-0.0683,-0.0683,0.2133,0.2193,0.4012,0.4895,0.4762,-0.0133,,0.4571,0.4895,0.4807,-0.0088,43,100,0,52,43,48,0.3817,0.1333,0.3947,0.4239,0.4774,0.4375,0.4795,0.4817,15,285,243,"{""main_baseline_neutral"": 0.3817}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.4774}","{""main_baseline_neutral"": 0.0067}",-0.0338,,0.45,0.3333,0.4883,300,0.8667,-0.7333,13,2,0,0,0,15,0,support_report_1,positive_leaning,discussion_stalled,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,4,75,5,0.8933,0.897,0.794,0.1875,0.8933,0.62,1.0,1.0,0.62,0.4633,0.1567,0.1567,0.8933,0.9237,0.5456,0.4902,0.5365,0.0463,,0.6567,0.4902,0.507,0.0168,32,88,0,54,32,34,0.59,1.0,0.5684,0.5041,0.5379,0.7383,0.5274,0.5081,15,285,241,"{""main_baseline_neutral"": 0.59}","{""main_baseline_neutral"": 59}","{""main_baseline_neutral"": 0.5379}","{""main_baseline_neutral"": 0.0533}",0.0823,,0.5917,1.0,0.585,300,1.0,1.0,0,15,0,0,0,15,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,5,75,5,0.76,0.7184,0.3212,0.875,0.76,0.5683,0.9333,0.9333,0.5683,0.4483,0.12,0.12,0.7703,0.839,0.5021,0.4911,0.5208,0.0297,,0.6086,0.4911,0.4993,0.0082,41,85,0,52,41,33,0.5683,0.9333,0.5491,0.5,0.5203,0.673,0.5123,0.499,15,285,241,"{""main_baseline_neutral"": 0.5683}","{""main_baseline_neutral"": 59}","{""main_baseline_neutral"": 0.5203}","{""main_baseline_neutral"": 0.0367}",0.0538,,0.5683,1.0,0.565,300,0.9333,0.8667,1,14,0,0,0,15,0,support_report_2,negative_leaning,discussion_stalled,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,6,75,5,0.9067,0.9135,0.827,0.4375,0.9067,0.6167,1.0,1.0,0.6167,0.4367,0.18,0.18,0.9067,0.9322,0.5394,0.4887,0.542,0.0533,,0.6679,0.4887,0.5112,0.0225,44,78,0,53,44,25,0.605,1.0,0.5842,0.5249,0.5419,0.752,0.5308,0.5107,15,285,241,"{""main_baseline_neutral"": 0.605}","{""main_baseline_neutral"": 59}","{""main_baseline_neutral"": 0.5419}","{""main_baseline_neutral"": 0.08}",0.1027,,0.5917,1.0,0.585,300,1.0,1.0,0,15,0,0,0,15,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,7,75,5,0.5867,0.7684,0.231,0.9375,0.5867,0.5067,0.8,0.8,0.5067,0.4467,0.06,0.06,0.5676,0.6525,0.471,0.4888,0.5092,0.0204,,0.5669,0.4888,0.495,0.0062,38,76,0,46,38,30,0.5167,0.8,0.5018,0.4876,0.5079,0.6769,0.499,0.4939,15,285,241,"{""main_baseline_neutral"": 0.5167}","{""main_baseline_neutral"": 59}","{""main_baseline_neutral"": 0.5079}","{""main_baseline_neutral"": 0.04}",0.0243,,0.54,1.0,0.545,300,0.8,0.6,3,12,0,0,0,15,0,support_report_2,negative_leaning,discussion_stalled,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,8,75,5,0.9067,0.9135,0.827,0.3125,0.9067,0.61,1.0,1.0,0.61,0.435,0.175,0.175,0.9067,0.9153,0.5353,0.4894,0.5378,0.0484,,0.6612,0.4894,0.5076,0.0182,49,88,0,55,49,33,0.5933,1.0,0.5719,0.5124,0.5382,0.7391,0.5277,0.5078,15,285,241,"{""main_baseline_neutral"": 0.5933}","{""main_baseline_neutral"": 59}","{""main_baseline_neutral"": 0.5382}","{""main_baseline_neutral"": 0.0667}",0.1003,,0.5917,1.0,0.5833,300,1.0,1.0,0,15,0,0,0,15,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,9,75,5,0.24,0.7447,-0.3733,0.5294,0.24,0.39,0.1333,0.1333,0.39,0.455,-0.065,-0.065,0.2432,0.3103,0.4091,0.4929,0.4819,-0.011,,0.4695,0.4929,0.4849,-0.008,39,98,0,50,39,48,0.4133,0.1333,0.4281,0.4483,0.4811,0.4288,0.4838,0.4843,15,285,242,"{""main_baseline_neutral"": 0.4133}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.4811}","{""main_baseline_neutral"": 0.0067}",-0.0459,,0.4483,0.4444,0.4967,300,0.8667,-0.7333,13,2,0,0,0,15,0,support_report_1,positive_leaning,discussion_stalled,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,10,75,5,0.8533,0.8789,0.7579,0.6111,0.8533,0.6133,1.0,1.0,0.6133,0.44,0.1733,0.1733,0.8649,0.9211,0.5412,0.4914,0.5386,0.0472,,0.6662,0.4914,0.5086,0.0172,42,72,0,48,42,24,0.5917,1.0,0.5702,0.5144,0.5383,0.7358,0.5279,0.509,15,285,243,"{""main_baseline_neutral"": 0.5917}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.5383}","{""main_baseline_neutral"": 0.0733}",0.1012,,0.5833,1.0,0.5767,300,1.0,1.0,0,15,0,0,0,15,0,support_report_2,negative_leaning,discussion_stalled,5
