experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,1,150,10,0.8467,0.8784,0.7123,0.9429,0.8467,0.6967,0.9333,0.9333,0.6967,0.4383,0.2584,0.2584,0.8593,0.9437,0.6068,0.4901,0.5726,0.0825,,0.7194,0.4901,0.5192,0.0291,51,124,0,71,51,53,0.68,0.9333,0.6667,0.5864,0.5743,0.7786,0.5635,0.5216,15,285,220,"{""main_baseline_neutral"": 0.68}","{""main_baseline_neutral"": 80}","{""main_baseline_neutral"": 0.5743}","{""main_baseline_neutral"": 0.1767}",0.1685,,0.6367,1.0,0.615,300,1.0,1.0,0,11,0,0,11,0,0,support_report_2,negative_leaning,high_consensus,10
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,2,75,5,0.8667,0.8812,0.7623,2.4,0.8667,0.6367,0.8,0.8,0.6367,0.45,0.1867,0.1867,0.8857,0.9571,0.5391,0.4914,0.5373,0.0459,,0.6347,0.4914,0.5076,0.0162,40,100,0,64,40,36,0.6067,0.8,0.5965,0.5087,0.5384,0.6278,0.5337,0.5082,15,285,230,"{""main_baseline_neutral"": 0.6067}","{""main_baseline_neutral"": 70}","{""main_baseline_neutral"": 0.5384}","{""main_baseline_neutral"": 0.0367}",0.0891,,0.6133,1.0,0.605,300,0.9231,0.8462,1,12,0,0,13,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,3,225,15,0.7333,0.8495,0.4469,1.1259,0.7333,0.655,1.0,1.0,0.655,0.435,0.22,0.22,0.7525,0.8833,0.5571,0.4895,0.5694,0.0799,,0.7024,0.4895,0.5124,0.0229,43,111,0,81,43,30,0.6583,1.0,0.6404,0.5619,0.5705,0.8571,0.5555,0.514,15,285,210,"{""main_baseline_neutral"": 0.6583}","{""main_baseline_neutral"": 90}","{""main_baseline_neutral"": 0.5705}","{""main_baseline_neutral"": 0.1433}",0.1221,,0.6333,1.0,0.6167,300,1.0,1.0,0,14,0,0,14,0,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,4,75,5,0.9067,0.9135,0.827,2.4,0.9067,0.6617,1.0,1.0,0.6617,0.4633,0.1984,0.1984,0.9028,0.9643,0.5696,0.4902,0.5432,0.053,,0.6496,0.4902,0.5108,0.0206,32,103,0,67,32,36,0.6233,1.0,0.6035,0.5174,0.5446,0.6744,0.5378,0.5117,15,285,230,"{""main_baseline_neutral"": 0.6233}","{""main_baseline_neutral"": 70}","{""main_baseline_neutral"": 0.5446}","{""main_baseline_neutral"": 0.0767}",0.1063,,0.62,1.0,0.61,300,1.0,1.0,0,14,0,0,14,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,5,225,15,0.6267,0.7785,0.1793,1.5407,0.6267,0.58,0.8667,0.8667,0.58,0.4483,0.1317,0.1317,0.6329,0.8222,0.4762,0.4911,0.5389,0.0478,,0.6361,0.4911,0.4972,0.0061,41,122,0,82,41,40,0.595,0.8667,0.5807,0.4881,0.5384,0.6997,0.5299,0.4965,15,285,210,"{""main_baseline_neutral"": 0.595}","{""main_baseline_neutral"": 90}","{""main_baseline_neutral"": 0.5384}","{""main_baseline_neutral"": 0.1}",0.0279,,0.6,0.9792,0.59,300,0.8667,0.7333,2,13,0,0,15,0,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,6,75,5,0.8933,0.9135,0.827,2.6,0.8933,0.635,0.9333,0.9333,0.635,0.4367,0.1983,0.1983,0.9,0.9714,0.5326,0.4887,0.5408,0.0521,,0.6458,0.4887,0.5088,0.0201,44,89,0,66,44,23,0.6067,0.9333,0.5895,0.5,0.5406,0.6607,0.5343,0.5081,15,285,230,"{""main_baseline_neutral"": 0.6067}","{""main_baseline_neutral"": 70}","{""main_baseline_neutral"": 0.5406}","{""main_baseline_neutral"": 0.0467}",0.0959,,0.6117,1.0,0.6083,300,1.0,1.0,0,13,0,0,13,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,7,225,15,0.8533,0.8707,0.7117,0.7333,0.8533,0.8167,0.8,0.8,0.8167,0.4467,0.37,0.37,0.8429,0.9667,0.7524,0.4888,0.6101,0.1213,,0.7782,0.4888,0.5381,0.0493,38,190,0,84,38,106,0.8,0.8,0.8,0.7429,0.6089,0.8293,0.5973,0.5372,15,285,210,"{""main_baseline_neutral"": 0.8}","{""main_baseline_neutral"": 90}","{""main_baseline_neutral"": 0.6089}","{""main_baseline_neutral"": 0.1967}",0.3057,,0.7033,1.0,0.6333,300,0.7857,0.5714,3,11,0,0,14,0,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,8,75,5,0.8933,0.9135,0.827,3.0,0.8933,0.65,1.0,1.0,0.65,0.435,0.215,0.215,0.9041,0.9643,0.5543,0.4894,0.5431,0.0537,,0.6477,0.4894,0.5112,0.0218,49,100,0,67,49,33,0.63,1.0,0.6105,0.5261,0.5435,0.6655,0.537,0.5108,15,285,230,"{""main_baseline_neutral"": 0.63}","{""main_baseline_neutral"": 70}","{""main_baseline_neutral"": 0.5435}","{""main_baseline_neutral"": 0.05}",0.1193,,0.6183,1.0,0.6083,300,1.0,1.0,0,15,0,0,15,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,9,75,5,0.9067,0.9123,0.8246,2.8,0.9067,0.6483,1.0,1.0,0.6483,0.455,0.1933,0.1933,0.9028,0.9643,0.5522,0.4929,0.5427,0.0498,,0.6498,0.4929,0.5102,0.0173,39,101,0,69,39,32,0.62,1.0,0.6,0.513,0.5419,0.6639,0.5354,0.5092,15,285,230,"{""main_baseline_neutral"": 0.62}","{""main_baseline_neutral"": 70}","{""main_baseline_neutral"": 0.5419}","{""main_baseline_neutral"": 0.0633}",0.0972,,0.6183,1.0,0.6083,300,1.0,1.0,0,14,0,0,14,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,10,75,5,0.8267,0.8559,0.5479,3.2,0.8267,0.6,1.0,1.0,0.6,0.44,0.16,0.16,0.8243,0.9,0.5087,0.4914,0.5322,0.0408,,0.627,0.4914,0.5033,0.0119,42,88,0,66,42,22,0.5967,1.0,0.5754,0.5022,0.5319,0.6671,0.5248,0.504,15,285,230,"{""main_baseline_neutral"": 0.5967}","{""main_baseline_neutral"": 70}","{""main_baseline_neutral"": 0.5319}","{""main_baseline_neutral"": 0.03}",0.0687,,0.6,1.0,0.5917,300,1.0,1.0,0,15,0,0,15,0,0,support_report_2,negative_leaning,high_consensus,5
