experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4934,0.5369,0.4911
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,300,15,285,13,13,0,0,0,2,0.7333,0.7692,0.5385,,3,10,5,t1_e15,0.6,0.4988,0.5709,0.495
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,300,15,285,14,14,0,0,0,1,0.8,0.7857,0.5714,0.0,3,11,5,t2_e15,0.6,0.5048,0.5846,0.5006
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,300,15,285,14,14,0,0,0,1,1.0,1.0,1.0,,0,14,5,t3_e6,0.6,0.5127,0.6234,0.5069
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,300,15,285,13,13,0,0,0,2,0.6667,0.7692,0.5385,3.0,3,10,5,t4_e15,1.0,0.5225,0.6,0.5184
main,influenza_a,high_interaction,main_baseline_neutral,none,1,6,300,15,285,15,15,0,0,0,0,1.0,1.0,1.0,1.5385,0,15,5,t5_e9,1.0,0.5348,0.7087,0.5257
main,influenza_a,high_interaction,main_baseline_neutral,none,1,7,300,15,285,13,13,0,0,0,2,0.8667,0.8462,0.6923,0.8462,2,11,5,t6_e15,1.0,0.5459,0.7072,0.5374
main,influenza_a,high_interaction,main_baseline_neutral,none,1,8,300,15,285,14,14,0,0,0,1,1.0,1.0,1.0,1.0,0,14,5,t7_e9,0.8,0.5548,0.7482,0.5446
main,influenza_a,high_interaction,main_baseline_neutral,none,1,9,300,15,285,13,13,0,0,0,2,0.9333,0.9231,0.8462,0.1538,1,12,5,t8_e8,1.0,0.566,0.7443,0.5567
main,influenza_a,high_interaction,main_baseline_neutral,none,1,10,300,15,285,11,11,0,0,0,4,0.9333,1.0,1.0,0.6154,0,11,5,t9_e9,0.8,0.5743,0.7786,0.5635
main,influenza_a,high_interaction,main_baseline_neutral,none,2,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4933,0.5411,0.4908
main,influenza_a,high_interaction,main_baseline_neutral,none,2,2,300,15,285,15,15,0,0,0,0,1.0,1.0,1.0,,0,15,5,t1_e15,0.6,0.5014,0.6274,0.4948
main,influenza_a,high_interaction,main_baseline_neutral,none,2,3,300,15,285,14,14,0,0,0,1,1.0,1.0,1.0,4.0,0,14,5,t2_e15,1.0,0.5144,0.6494,0.5073
main,influenza_a,high_interaction,main_baseline_neutral,none,2,4,300,15,285,13,13,0,0,0,2,1.0,1.0,1.0,,0,13,5,t3_e9,1.0,0.5272,0.6539,0.5206
main,influenza_a,high_interaction,main_baseline_neutral,none,2,5,300,15,285,13,13,0,0,0,2,0.8,0.9231,0.8462,2.0,1,12,5,t4_e15,1.0,0.5384,0.6278,0.5337
main,influenza_a,high_interaction,main_baseline_neutral,none,3,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4917,0.5385,0.4892
main,influenza_a,high_interaction,main_baseline_neutral,none,3,2,300,15,285,15,15,0,0,0,0,0.3333,0.6154,-0.2308,,8,5,5,t1_e9,0.8,0.4957,0.5119,0.4948
main,influenza_a,high_interaction,main_baseline_neutral,none,3,3,300,15,285,14,14,0,0,0,1,0.9333,0.9286,0.8571,0.0,1,13,5,t2_e8,0.4,0.5003,0.6164,0.4942
main,influenza_a,high_interaction,main_baseline_neutral,none,3,4,300,15,285,15,15,0,0,0,0,0.8,0.8571,0.7143,4.0,2,12,5,t3_e8,0.8,0.5091,0.6015,0.5042
main,influenza_a,high_interaction,main_baseline_neutral,none,3,5,300,15,285,15,15,0,0,0,0,0.3333,0.6667,-0.3333,1.3333,10,5,5,t4_e9,0.8,0.5133,0.5264,0.5126
main,influenza_a,high_interaction,main_baseline_neutral,none,3,6,300,15,285,15,15,0,0,0,0,0.7333,0.7333,0.4667,0.7692,4,11,5,t5_e9,0.2,0.5131,0.6342,0.5067
main,influenza_a,high_interaction,main_baseline_neutral,none,3,7,300,15,285,10,10,0,0,0,5,0.2667,0.6,-0.2,1.6154,6,4,5,t6_e9,0.2,0.5085,0.516,0.5081
main,influenza_a,high_interaction,main_baseline_neutral,none,3,8,300,15,285,12,12,0,0,0,3,0.9333,0.9167,0.8333,0.6154,1,11,5,t7_e8,0.2,0.5095,0.6793,0.5005
main,influenza_a,high_interaction,main_baseline_neutral,none,3,9,300,15,285,14,14,0,0,0,1,0.9333,0.9286,0.8571,2.6923,1,13,5,t8_e9,0.8,0.5195,0.6293,0.5137
