experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,1,90,6,0.7667,0.8824,0.457,1.7931,0.7667,0.56,1.0,1.0,0.56,0.4383,0.1217,0.1217,0.7753,0.9098,0.4707,0.4901,0.5209,0.0308,,0.623,0.4901,0.4949,0.0048,51,88,0,56,51,32,0.58,1.0,0.5579,0.4958,0.5227,0.7158,0.5125,0.4975,15,285,239,"{""main_baseline_neutral"": 0.58}","{""main_baseline_neutral"": 61}","{""main_baseline_neutral"": 0.5227}","{""main_baseline_neutral"": 0.0467}",0.0324,,0.5783,1.0,0.5683,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,6
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,2,75,5,0.88,0.9078,0.8157,0.2143,0.88,0.62,1.0,1.0,0.62,0.45,0.17,0.17,0.8919,0.9262,0.5418,0.4914,0.5376,0.0462,,0.6509,0.4914,0.5086,0.0172,40,90,0,54,40,36,0.5983,1.0,0.5772,0.5126,0.5387,0.7116,0.5296,0.5089,15,285,239,"{""main_baseline_neutral"": 0.5983}","{""main_baseline_neutral"": 61}","{""main_baseline_neutral"": 0.5387}","{""main_baseline_neutral"": 0.0567}",0.0918,,0.595,1.0,0.5867,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,3,225,15,0.4844,0.7278,0.0835,1.226,0.4844,0.3967,0.6667,0.6667,0.3967,0.435,-0.0383,-0.0383,0.491,0.538,0.3462,0.4895,0.494,0.0045,,0.5526,0.4895,0.4731,-0.0164,43,136,0,68,43,68,0.415,0.6667,0.4018,0.3688,0.4952,0.6233,0.4884,0.4745,15,285,221,"{""main_baseline_neutral"": 0.415}","{""main_baseline_neutral"": 79}","{""main_baseline_neutral"": 0.4952}","{""main_baseline_neutral"": 0.0533}",-0.0888,,0.4817,0.6786,0.5267,300,0.6667,0.3333,5,10,0,15,0,0,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,4,75,5,0.8933,0.8826,0.7651,0.0714,0.8933,0.635,1.0,1.0,0.635,0.4633,0.1717,0.1717,0.8933,0.9262,0.5607,0.4902,0.5404,0.0502,,0.658,0.4902,0.5103,0.0201,32,93,0,54,32,39,0.6,1.0,0.5789,0.5167,0.5418,0.7039,0.5333,0.5113,15,285,239,"{""main_baseline_neutral"": 0.6}","{""main_baseline_neutral"": 61}","{""main_baseline_neutral"": 0.5418}","{""main_baseline_neutral"": 0.0667}",0.0974,,0.5967,1.0,0.5867,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,5,225,15,0.5644,0.7293,0.4187,1.0811,0.5644,0.57,0.7333,0.7333,0.57,0.4483,0.1217,0.1217,0.6195,0.6558,0.5404,0.4911,0.5348,0.0437,,0.6175,0.4911,0.5062,0.0151,41,102,0,60,41,42,0.5433,0.7333,0.5333,0.5179,0.5344,0.7762,0.5217,0.5056,15,285,223,"{""main_baseline_neutral"": 0.5433}","{""main_baseline_neutral"": 77}","{""main_baseline_neutral"": 0.5344}","{""main_baseline_neutral"": 0.0767}",0.0921,,0.5567,0.8788,0.55,300,0.7857,0.5714,3,11,1,15,0,0,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,6,75,5,0.9067,0.9135,0.827,0.2143,0.9067,0.6183,1.0,1.0,0.6183,0.4367,0.1816,0.1816,0.9067,0.9344,0.5377,0.4887,0.5422,0.0535,,0.6653,0.4887,0.5109,0.0222,44,79,0,55,44,24,0.6083,1.0,0.5877,0.523,0.5421,0.7158,0.533,0.5105,15,285,239,"{""main_baseline_neutral"": 0.6083}","{""main_baseline_neutral"": 61}","{""main_baseline_neutral"": 0.5421}","{""main_baseline_neutral"": 0.0733}",0.101,,0.595,1.0,0.59,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,7,105,7,0.8571,0.848,0.677,1.2683,0.8571,0.63,0.9333,0.9333,0.63,0.4467,0.1833,0.1833,0.8571,0.9375,0.5466,0.4888,0.5494,0.0606,,0.6906,0.4888,0.5111,0.0223,38,88,0,56,38,32,0.605,0.9333,0.5877,0.5191,0.5482,0.7621,0.5369,0.5104,15,285,236,"{""main_baseline_neutral"": 0.605}","{""main_baseline_neutral"": 64}","{""main_baseline_neutral"": 0.5482}","{""main_baseline_neutral"": 0.0967}",0.0999,,0.6,1.0,0.5933,300,0.9333,0.8667,1,14,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,7
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,8,75,5,0.9067,0.9135,0.827,0.7333,0.9067,0.6183,1.0,1.0,0.6183,0.435,0.1833,0.1833,0.9067,0.95,0.5354,0.4894,0.5374,0.048,,0.6593,0.4894,0.507,0.0176,49,89,0,56,49,33,0.5967,1.0,0.5754,0.5083,0.5379,0.7036,0.5291,0.5071,15,285,240,"{""main_baseline_neutral"": 0.5967}","{""main_baseline_neutral"": 60}","{""main_baseline_neutral"": 0.5379}","{""main_baseline_neutral"": 0.06}",0.1004,,0.5983,1.0,0.5883,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,9,225,15,0.2489,0.7847,-0.4248,0.6667,0.2489,0.175,0.3333,0.3333,0.175,0.455,-0.28,-0.28,0.2558,0.2222,0.1575,0.4929,0.4321,-0.0608,,0.3924,0.4929,0.4468,-0.0461,39,225,0,75,39,150,0.1617,0.3333,0.1526,0.1301,0.4313,0.3133,0.4375,0.446,15,285,219,"{""main_baseline_neutral"": 0.1617}","{""main_baseline_neutral"": 81}","{""main_baseline_neutral"": 0.4313}","{""main_baseline_neutral"": 0.0133}",-0.2975,,0.2883,0.15,0.43,300,0.6667,-0.3333,10,5,0,15,0,0,0,support_report_1,positive_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,10,90,6,0.8444,0.8543,0.7085,1.3333,0.8444,0.605,1.0,1.0,0.605,0.44,0.165,0.165,0.8444,0.9286,0.519,0.4914,0.5365,0.0451,,0.6599,0.4914,0.5037,0.0123,42,85,0,58,42,27,0.5933,1.0,0.5719,0.5021,0.5362,0.7517,0.5249,0.5044,15,285,237,"{""main_baseline_neutral"": 0.5933}","{""main_baseline_neutral"": 63}","{""main_baseline_neutral"": 0.5362}","{""main_baseline_neutral"": 0.0567}",0.079,,0.5933,1.0,0.59,300,1.0,1.0,0,15,0,15,0,0,0,support_report_2,negative_leaning,high_consensus,6
