experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4934,0.5387,0.491
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,300,15,285,14,0,14,0,0,1,0.2667,0.7143,-0.4286,,10,4,5,t1_e15,0.6,0.494,0.4714,0.4952
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,300,15,285,15,0,15,0,0,0,0.8,0.8,0.6,0.5,3,12,1,t1_e15,0.3333333333333333,0.4962,0.586,0.4915
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,300,15,285,15,0,15,0,0,0,1.0,1.0,1.0,2.9,0,15,1,t1_e15,0.5666666666666667,0.5039,0.5946,0.4991
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,300,15,285,15,0,15,0,0,0,1.0,1.0,1.0,3.0,0,15,1,t1_e15,0.7111111111111111,0.5133,0.6253,0.5074
main,influenza_a,high_interaction,main_baseline_neutral,none,1,6,300,15,285,15,0,15,0,0,0,1.0,1.0,1.0,0.7692,0,15,1,t1_e15,0.7833333333333333,0.5227,0.7158,0.5125
main,influenza_a,high_interaction,main_baseline_neutral,none,2,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4933,0.5429,0.4907
main,influenza_a,high_interaction,main_baseline_neutral,none,2,2,300,15,285,14,0,14,0,0,1,0.8667,0.9286,0.8571,,1,13,5,t1_e9,0.8,0.5029,0.6201,0.4968
main,influenza_a,high_interaction,main_baseline_neutral,none,2,3,300,15,285,15,0,15,0,0,0,1.0,1.0,1.0,0.0,0,15,1,t1_e9,0.9333333333333333,0.515,0.6515,0.5078
main,influenza_a,high_interaction,main_baseline_neutral,none,2,4,300,15,285,15,0,15,0,0,0,1.0,1.0,1.0,0.4286,0,15,1,t1_e9,0.9666666666666667,0.5268,0.7005,0.5176
