experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,1,180,6,0.85,0.8546,0.7092,0.9792,0.85,0.6517,1.0,1.0,0.6517,0.4383,0.2134,0.2134,0.8452,0.9762,0.5255,0.4901,0.5702,0.0801,,0.7303,0.4901,0.508,0.0179,51,111,0,82,51,29,0.6417,1.0,0.6019,0.5116,0.572,0.796,0.5471,0.5104,30,270,216,"{""main_baseline_neutral"": 0.6417}","{""main_baseline_neutral"": 84}","{""main_baseline_neutral"": 0.572}","{""main_baseline_neutral"": 0.1667}",0.0872,,0.6383,1.0,0.6333,300,1.0,1.0,0,29,0,24,2,3,0,support_report_2,negative_leaning,high_consensus,6
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,2,150,5,0.8467,0.8601,0.7069,1.2143,0.8467,0.6583,1.0,1.0,0.6583,0.45,0.2083,0.2083,0.8511,0.9688,0.5455,0.4914,0.5573,0.0659,,0.6994,0.4914,0.5056,0.0142,40,111,0,77,40,34,0.625,1.0,0.5833,0.5,0.5584,0.7624,0.5357,0.5059,30,270,220,"{""main_baseline_neutral"": 0.625}","{""main_baseline_neutral"": 80}","{""main_baseline_neutral"": 0.5584}","{""main_baseline_neutral"": 0.1533}",0.0955,,0.6283,1.0,0.6217,300,1.0,1.0,0,30,0,20,6,4,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,3,450,15,0.6422,0.7904,0.3161,1.2061,0.6422,0.5217,0.9667,0.9667,0.5217,0.435,0.0867,0.0867,0.6278,0.775,0.3528,0.4895,0.5447,0.0552,,0.6507,0.4895,0.4741,-0.0154,43,167,0,114,43,53,0.54,0.9667,0.4926,0.3778,0.546,0.7761,0.5204,0.4752,30,270,180,"{""main_baseline_neutral"": 0.54}","{""main_baseline_neutral"": 120}","{""main_baseline_neutral"": 0.546}","{""main_baseline_neutral"": 0.14}",-0.0822,,0.5867,0.9808,0.5983,300,0.9655,0.931,1,28,0,15,12,2,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,4,150,5,0.86,0.8568,0.687,0.9143,0.86,0.6567,1.0,1.0,0.6567,0.4633,0.1934,0.1934,0.8662,0.9688,0.5432,0.4902,0.5612,0.071,,0.7087,0.4902,0.5075,0.0173,32,110,0,77,32,33,0.6283,1.0,0.587,0.5045,0.5626,0.7714,0.5394,0.5083,30,270,220,"{""main_baseline_neutral"": 0.6283}","{""main_baseline_neutral"": 80}","{""main_baseline_neutral"": 0.5626}","{""main_baseline_neutral"": 0.1533}",0.0799,,0.63,1.0,0.6233,300,1.0,1.0,0,29,0,21,7,1,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,5,450,15,0.1578,0.8554,-0.6386,0.4061,0.1578,0.11,0.0667,0.0667,0.11,0.4483,-0.3383,-0.3383,0.1454,0.0875,0.125,0.4911,0.3781,-0.113,,0.287,0.4911,0.4388,-0.0523,41,250,0,115,41,135,0.0717,0.0667,0.0722,0.0667,0.3772,0.1719,0.4,0.4376,30,270,180,"{""main_baseline_neutral"": 0.0717}","{""main_baseline_neutral"": 120}","{""main_baseline_neutral"": 0.3772}","{""main_baseline_neutral"": 0.01}",-0.3233,,0.185,0.046,0.3217,300,0.96,-0.92,24,1,0,8,1,16,0,support_report_1,positive_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,6,270,9,0.7963,0.8121,0.6144,0.954,0.7963,0.6683,1.0,1.0,0.6683,0.4367,0.2316,0.2316,0.7976,0.9375,0.5417,0.4887,0.5862,0.0975,,0.7436,0.4887,0.5121,0.0234,44,105,0,84,44,21,0.6517,1.0,0.613,0.5196,0.5861,0.8466,0.5571,0.5117,30,270,204,"{""main_baseline_neutral"": 0.6517}","{""main_baseline_neutral"": 96}","{""main_baseline_neutral"": 0.5861}","{""main_baseline_neutral"": 0.1733}",0.105,,0.64,1.0,0.6383,300,1.0,1.0,0,29,0,9,10,10,0,support_report_2,negative_leaning,high_consensus,9
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,7,450,15,0.4311,0.6444,-0.0647,0.7667,0.4311,0.3017,0.5667,0.5667,0.3017,0.4467,-0.145,-0.145,0.4207,0.3792,0.25,0.4888,0.4725,-0.0163,,0.4929,0.4888,0.4588,-0.03,38,203,0,113,38,90,0.2983,0.5667,0.2685,0.2333,0.4712,0.4931,0.4688,0.4576,30,270,180,"{""main_baseline_neutral"": 0.2983}","{""main_baseline_neutral"": 120}","{""main_baseline_neutral"": 0.4712}","{""main_baseline_neutral"": 0.0567}",-0.1967,,0.3933,0.4222,0.4817,300,0.5714,0.1429,12,16,0,11,10,7,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,8,450,15,0.6867,0.7855,0.5061,0.6939,0.6867,0.625,0.9333,0.9333,0.625,0.435,0.19,0.19,0.7071,0.7625,0.5333,0.4894,0.5719,0.0825,,0.6718,0.4894,0.5053,0.0159,49,117,0,93,49,24,0.62,0.9333,0.5852,0.525,0.573,0.8521,0.542,0.5051,30,270,180,"{""main_baseline_neutral"": 0.62}","{""main_baseline_neutral"": 120}","{""main_baseline_neutral"": 0.573}","{""main_baseline_neutral"": 0.1467}",0.0983,,0.62,1.0,0.6083,300,0.931,0.8621,2,27,0,10,6,13,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,9,450,15,0.6133,0.7254,0.3218,1.0121,0.6133,0.5567,0.7,0.7,0.5567,0.455,0.1017,0.1017,0.6035,0.6708,0.4806,0.4929,0.5485,0.0556,,0.6256,0.4929,0.4971,0.0042,39,120,0,97,39,23,0.5467,0.7,0.5296,0.4917,0.5477,0.7403,0.5263,0.4957,30,270,180,"{""main_baseline_neutral"": 0.5467}","{""main_baseline_neutral"": 120}","{""main_baseline_neutral"": 0.5477}","{""main_baseline_neutral"": 0.1167}",0.0256,,0.5833,0.8889,0.5733,300,0.6364,0.2727,8,14,0,10,8,4,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,10,150,5,0.8667,0.8751,0.7503,0.9714,0.8667,0.6433,0.9333,0.9333,0.6433,0.44,0.2033,0.2033,0.8601,0.975,0.5227,0.4914,0.5632,0.0718,,0.7204,0.4914,0.5061,0.0147,42,100,0,78,42,22,0.6233,0.9333,0.5889,0.5023,0.563,0.7591,0.5412,0.507,30,270,220,"{""main_baseline_neutral"": 0.6233}","{""main_baseline_neutral"": 80}","{""main_baseline_neutral"": 0.563}","{""main_baseline_neutral"": 0.1567}",0.0827,,0.6283,1.0,0.6283,300,0.931,0.8621,2,27,0,14,5,10,0,support_report_2,negative_leaning,high_consensus,5
