experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,300,24,276,24,24,0,0,0,0,0.5,0.5,0.0,,12,12,4,seed_4,,0.4944,0.5291,0.4914
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,300,24,276,23,10,13,0,0,1,0.3333,0.6818,-0.3636,0.5,15,7,5,t1_e24,0.6,0.496,0.4984,0.4958
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,300,24,276,20,8,8,4,0,4,0.7083,0.7,0.4,1.0769,6,14,3,t1_e19,0.4160811865729898,0.5008,0.6077,0.4914
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,300,24,276,21,1,12,8,0,3,0.125,0.8571,-0.7143,1.2667,18,3,3,t1_e19,0.4365865157944366,0.4973,0.4994,0.4971
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,300,24,276,22,4,11,7,0,2,0.3333,0.6818,-0.3636,1.2222,15,7,3,t1_e19,0.3112580348943985,0.4943,0.5418,0.4902
main,influenza_a,high_interaction,main_baseline_neutral,none,1,6,300,24,276,21,1,17,3,0,3,0.2083,0.8571,-0.7143,1.0,18,3,3,t1_e19,0.302200700908166,0.4888,0.5258,0.4855
main,influenza_a,high_interaction,main_baseline_neutral,none,1,7,300,24,276,22,4,12,6,0,2,0.375,0.6364,-0.2727,1.0476,14,8,3,t1_e19,0.26564828438155824,0.4865,0.5068,0.4847
main,influenza_a,high_interaction,main_baseline_neutral,none,1,8,300,24,276,21,4,8,9,0,3,0.25,0.7619,-0.5238,0.7143,16,5,3,t1_e19,0.2656817396946325,0.4813,0.5207,0.4779
main,influenza_a,high_interaction,main_baseline_neutral,none,1,9,300,24,276,22,5,16,1,0,2,0.2917,0.6818,-0.3636,0.9048,15,7,3,t1_e19,0.24529950012708637,0.4771,0.4796,0.4769
main,influenza_a,high_interaction,main_baseline_neutral,none,1,10,300,24,276,19,2,11,6,0,5,0.25,0.7368,-0.4737,0.381,14,5,3,t1_e19,0.2442837007953287,0.4724,0.4933,0.4706
