experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4934,0.5369,0.4911
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,300,15,285,11,3,5,3,0,4,0.6667,0.9091,0.8182,4.0,1,10,5,t1_e15,0.6,0.4976,0.563,0.4942
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,300,15,285,14,7,7,0,0,1,0.9333,0.9286,0.8571,0.0,1,13,2,t1_e15,0.90625,0.5046,0.6374,0.4976
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,300,15,285,13,1,7,5,0,2,1.0,1.0,1.0,1.5,0,13,2,t1_e15,0.95,0.5122,0.6687,0.504
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,300,15,285,14,1,9,4,0,1,0.9333,0.9286,0.8571,1.7143,1,13,2,t1_e15,0.9723032069970845,0.5191,0.6659,0.5114
main,influenza_a,high_interaction,main_baseline_neutral,none,2,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4933,0.5411,0.4908
main,influenza_a,high_interaction,main_baseline_neutral,none,2,2,300,15,285,15,6,5,4,0,0,0.7333,0.7333,0.4667,4.0,4,11,5,t1_e15,0.6,0.4982,0.5819,0.4938
main,influenza_a,high_interaction,main_baseline_neutral,none,2,3,300,15,285,15,5,8,2,0,0,0.8,0.8,0.6,1.0,3,12,3,t1_e12,0.6851351351351351,0.5035,0.5972,0.4985
main,influenza_a,high_interaction,main_baseline_neutral,none,2,4,300,15,285,12,2,6,4,0,3,0.8667,0.8333,0.6667,1.6667,2,10,3,t1_e12,0.7328767123287672,0.5091,0.6104,0.5038
main,influenza_a,high_interaction,main_baseline_neutral,none,2,5,300,15,285,12,1,6,5,0,3,1.0,1.0,1.0,1.0,0,12,3,t1_e12,0.7880952380952381,0.5159,0.6995,0.5062
main,influenza_a,high_interaction,main_baseline_neutral,none,2,6,300,15,285,15,5,8,2,0,0,0.8667,0.8667,0.7333,0.5833,2,13,3,t1_e12,0.8470023980815348,0.5215,0.6755,0.5134
main,influenza_a,high_interaction,main_baseline_neutral,none,2,7,300,15,285,12,3,6,3,0,3,0.9333,0.9167,0.8333,0.7692,1,11,3,t1_e12,0.8380000000000001,0.5269,0.7478,0.5153
main,influenza_a,high_interaction,main_baseline_neutral,none,2,8,300,15,285,14,0,11,3,0,1,0.8667,0.8571,0.7143,1.0,2,12,3,t1_e12,0.8445731707317072,0.5325,0.7457,0.5212
