experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4934,0.5387,0.491
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,300,15,285,13,7,5,1,0,2,0.2667,0.7692,-0.5385,3.0,10,3,5,t1_e15,0.6,0.4943,0.4765,0.4952
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,300,15,285,13,4,8,1,0,2,0.2667,0.7692,-0.5385,0.8,10,3,3,t1_e11,0.34139784946236557,0.4917,0.4789,0.4924
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,300,15,285,15,2,11,2,0,0,0.1333,0.8667,-0.7333,1.0,13,2,3,t1_e12,0.33076923076923076,0.4876,0.4388,0.4902
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,300,15,285,15,2,12,1,0,0,0.2667,0.6923,-0.3846,0.1429,9,4,3,t1_e12,0.25589970501474923,0.4843,0.4925,0.4838
main,influenza_a,high_interaction,main_baseline_neutral,none,2,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4933,0.5429,0.4907
main,influenza_a,high_interaction,main_baseline_neutral,none,2,2,300,15,285,14,7,5,2,0,1,0.8,0.7857,0.5714,,3,11,5,t1_e9,0.8,0.5022,0.6053,0.4968
main,influenza_a,high_interaction,main_baseline_neutral,none,2,3,300,15,285,14,7,7,0,0,1,0.9333,0.9286,0.8571,2.3333,1,13,3,t1_e14,0.7979797979797979,0.5121,0.6277,0.506
main,influenza_a,high_interaction,main_baseline_neutral,none,2,4,300,15,285,13,1,7,5,0,2,1.0,1.0,1.0,2.1667,0,13,3,t1_e14,0.8224043715846995,0.5223,0.6639,0.5149
main,influenza_a,high_interaction,main_baseline_neutral,none,2,5,300,15,285,14,3,3,8,0,1,0.9333,0.9286,0.8571,1.2,1,13,2,t1_e14,0.8864603024574669,0.5328,0.6642,0.5259
main,influenza_a,high_interaction,main_baseline_neutral,none,3,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4917,0.5384,0.4892
main,influenza_a,high_interaction,main_baseline_neutral,none,3,2,300,15,285,13,7,5,1,0,2,0.0667,0.9231,-0.8462,4.0,12,1,5,t1_e9,0.8,0.4936,0.4695,0.4949
main,influenza_a,high_interaction,main_baseline_neutral,none,3,3,300,15,285,15,6,7,2,0,0,0.2667,0.7143,-0.4286,1.8,10,4,2,t1_e11,0.25,0.49,0.4904,0.49
main,influenza_a,high_interaction,main_baseline_neutral,none,3,4,300,15,285,14,2,6,6,0,1,0.0,1.0,-1.0,0.0,14,0,2,t1_e11,0.1845238095238095,0.4834,0.402,0.4877
main,influenza_a,high_interaction,main_baseline_neutral,none,3,5,300,15,285,9,3,3,3,0,6,0.1333,0.7778,-0.5556,0.1429,7,2,1,t1_e11,0.07692307692307693,0.4768,0.4397,0.4787
main,influenza_a,high_interaction,main_baseline_neutral,none,4,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4941,0.5436,0.4915
main,influenza_a,high_interaction,main_baseline_neutral,none,4,2,300,15,285,14,7,5,2,0,1,0.9333,0.9286,0.8571,,1,13,5,t1_e9,1.0,0.5064,0.6362,0.4996
main,influenza_a,high_interaction,main_baseline_neutral,none,4,3,300,15,285,14,3,11,0,0,1,1.0,1.0,1.0,1.1667,0,14,1,t1_e11,0.8571428571428571,0.5169,0.6648,0.5091
main,influenza_a,high_interaction,main_baseline_neutral,none,4,4,300,15,285,12,2,6,4,0,3,1.0,1.0,1.0,2.4,0,12,1,t1_e11,0.9444444444444445,0.5284,0.6676,0.5211
main,influenza_a,high_interaction,main_baseline_neutral,none,4,5,300,15,285,15,0,11,4,0,0,1.0,1.0,1.0,1.5,0,15,1,t1_e11,0.9642857142857142,0.5404,0.6818,0.5329
main,influenza_a,high_interaction,main_baseline_neutral,none,5,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4933,0.5427,0.4907
main,influenza_a,high_interaction,main_baseline_neutral,none,5,2,300,15,285,12,7,4,1,0,3,0.4,0.6667,-0.3333,4.0,8,4,5,t1_e15,0.6,0.4957,0.5073,0.4951
main,influenza_a,high_interaction,main_baseline_neutral,none,5,3,300,15,285,13,6,7,0,0,2,0.3333,0.5833,-0.1667,1.6667,7,5,2,t1_e11,0.28750000000000003,0.4936,0.5015,0.4932
main,influenza_a,high_interaction,main_baseline_neutral,none,5,4,300,15,285,15,10,5,0,0,0,0.4667,0.5333,-0.0667,1.3333,8,7,2,t1_e11,0.2828525641025641,0.4927,0.5247,0.491
main,influenza_a,high_interaction,main_baseline_neutral,none,5,5,300,15,285,15,10,4,1,0,0,0.8667,0.8667,0.7333,2.375,2,13,2,t1_e11,0.364425505050505,0.496,0.5899,0.491
