experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,1,75,15,0.7467,0.9007,0.5227,1.06,0.7467,0.605,1.0,1.0,0.605,0.445,0.16,0.16,0.7463,0.86,0.52,0.491,0.5483,0.0573,,0.6763,0.491,0.5056,0.0146,11,33,0,22,11,11,0.595,1.0,0.5737,0.5067,0.5484,0.8875,0.5306,0.5053,5,95,75,"{""main_baseline_neutral"": 0.595}","{""main_baseline_neutral"": 25}","{""main_baseline_neutral"": 0.5484}","{""main_baseline_neutral"": 0.08}",0.075,,0.59,1.0,0.575,100,1.0,1.0,0,5,0,4,0,1,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,2,25,5,0.92,0.9278,0.8556,1.1429,0.92,0.585,1.0,1.0,0.585,0.45,0.135,0.135,0.9167,1.0,0.4939,0.4896,0.5307,0.0411,,0.6637,0.4896,0.5015,0.0119,14,27,0,18,14,9,0.59,1.0,0.5684,0.5,0.5331,0.7008,0.5243,0.5045,5,95,82,"{""main_baseline_neutral"": 0.59}","{""main_baseline_neutral"": 18}","{""main_baseline_neutral"": 0.5331}","{""main_baseline_neutral"": 0.04}",0.0439,,0.59,1.0,0.59,100,1.0,1.0,0,5,0,2,2,1,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,3,75,15,0.6267,0.8041,0.2694,1.3125,0.6267,0.455,0.8,0.8,0.455,0.465,-0.01,-0.01,0.6269,0.6296,0.3904,0.493,0.5185,0.0255,,0.6109,0.493,0.4843,-0.0087,11,41,0,25,11,16,0.5,0.8,0.4842,0.4658,0.5189,0.8286,0.5026,0.4851,5,95,73,"{""main_baseline_neutral"": 0.5}","{""main_baseline_neutral"": 27}","{""main_baseline_neutral"": 0.5189}","{""main_baseline_neutral"": 0.08}",-0.0746,,0.545,1.0,0.555,100,1.0,1.0,0,4,0,3,1,0,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,4,25,5,0.92,0.9307,0.8613,1.375,0.92,0.565,1.0,1.0,0.565,0.46,0.105,0.105,0.92,1.0,0.4759,0.4894,0.5267,0.0373,,0.6689,0.4894,0.4975,0.0081,12,29,0,17,12,12,0.585,1.0,0.5632,0.5,0.5306,0.7272,0.5203,0.5009,5,95,83,"{""main_baseline_neutral"": 0.585}","{""main_baseline_neutral"": 17}","{""main_baseline_neutral"": 0.5306}","{""main_baseline_neutral"": 0.05}",0.0159,,0.585,1.0,0.58,100,1.0,1.0,0,5,0,3,1,1,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,5,55,11,0.8,0.9044,0.6956,1.1562,0.8,0.715,1.0,1.0,0.715,0.465,0.25,0.25,0.8125,0.8913,0.6623,0.4948,0.5713,0.0765,,0.7216,0.4948,0.5264,0.0316,13,45,0,20,13,25,0.66,1.0,0.6421,0.5844,0.5677,0.8337,0.5537,0.523,5,95,77,"{""main_baseline_neutral"": 0.66}","{""main_baseline_neutral"": 23}","{""main_baseline_neutral"": 0.5677}","{""main_baseline_neutral"": 0.11}",0.1973,,0.64,1.0,0.595,100,1.0,1.0,0,5,0,1,2,2,0,support_report_2,negative_leaning,high_consensus,11
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,6,25,5,0.88,0.9227,0.8453,1.2857,0.88,0.595,1.0,1.0,0.595,0.425,0.17,0.17,0.88,0.9444,0.5183,0.4902,0.5292,0.039,,0.6546,0.4902,0.5017,0.0115,17,25,0,18,17,7,0.585,1.0,0.5632,0.5,0.529,0.7013,0.52,0.502,5,95,82,"{""main_baseline_neutral"": 0.585}","{""main_baseline_neutral"": 18}","{""main_baseline_neutral"": 0.529}","{""main_baseline_neutral"": 0.04}",0.0933,,0.585,1.0,0.58,100,1.0,1.0,0,5,0,2,2,1,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,7,25,5,0.92,0.9246,0.8493,1.1429,0.92,0.58,1.0,1.0,0.58,0.46,0.12,0.12,0.913,1.0,0.4878,0.4863,0.5321,0.0458,,0.6635,0.4863,0.5032,0.0169,12,26,0,18,12,8,0.59,1.0,0.5684,0.5,0.5327,0.7133,0.5232,0.504,5,95,82,"{""main_baseline_neutral"": 0.59}","{""main_baseline_neutral"": 18}","{""main_baseline_neutral"": 0.5327}","{""main_baseline_neutral"": 0.04}",0.0278,,0.59,1.0,0.58,100,1.0,1.0,0,4,0,2,1,1,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,8,25,5,0.88,0.8793,0.7587,1.8333,0.88,0.595,1.0,1.0,0.595,0.425,0.17,0.17,0.875,1.0,0.5,0.4879,0.5266,0.0387,,0.6393,0.4879,0.5001,0.0122,17,33,0,19,17,14,0.595,1.0,0.5737,0.5,0.5284,0.6998,0.5194,0.5017,5,95,81,"{""main_baseline_neutral"": 0.595}","{""main_baseline_neutral"": 19}","{""main_baseline_neutral"": 0.5284}","{""main_baseline_neutral"": 0.02}",0.075,,0.6,1.0,0.58,100,1.0,1.0,0,5,0,2,2,1,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,9,75,15,0.52,0.7836,0.13,1.7451,0.52,0.405,1.0,1.0,0.405,0.455,-0.05,-0.05,0.5323,0.5833,0.3487,0.493,0.5021,0.0091,,0.5742,0.493,0.4793,-0.0137,13,37,0,14,13,23,0.465,1.0,0.4368,0.4145,0.5023,0.733,0.4901,0.4803,5,95,76,"{""main_baseline_neutral"": 0.465}","{""main_baseline_neutral"": 24}","{""main_baseline_neutral"": 0.5023}","{""main_baseline_neutral"": 0.05}",-0.1063,,0.5,1.0,0.535,100,1.0,1.0,0,5,0,4,0,1,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,10,35,7,0.8,0.8262,0.519,1.6429,0.8,0.615,1.0,1.0,0.615,0.44,0.175,0.175,0.7812,0.9524,0.5253,0.4913,0.536,0.0447,,0.6527,0.4913,0.505,0.0137,16,33,0,21,16,12,0.6,1.0,0.5789,0.5063,0.5351,0.6557,0.5287,0.5049,5,95,79,"{""main_baseline_neutral"": 0.6}","{""main_baseline_neutral"": 21}","{""main_baseline_neutral"": 0.5351}","{""main_baseline_neutral"": 0.04}",0.0853,,0.595,1.0,0.575,100,1.0,1.0,0,4,0,1,2,1,0,support_report_2,negative_leaning,high_consensus,7
