experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,100,5,95,5,5,0,0,0,0,0.6,0.6,0.2,,2,3,4,seed_4,,0.4922,0.5375,0.4898
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,100,5,95,5,1,4,0,0,0,0.0,1.0,-1.0,0.0,5,0,5,t1_e5,0.6,0.4904,0.422,0.494
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,100,5,95,5,1,4,0,0,0,0.8,0.8,0.6,1.0,1,4,3,t1_e1,0.2866666666666666,0.4922,0.6187,0.4855
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,100,5,95,5,1,4,0,0,0,0.4,0.6,-0.2,1.25,3,2,3,t1_e2,0.5463414634146341,0.4937,0.4978,0.4934
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,100,5,95,5,2,3,0,0,0,1.0,1.0,1.0,0.0,0,5,3,t1_e2,0.46783625730994155,0.4994,0.6791,0.4899
main,influenza_a,high_interaction,main_baseline_neutral,none,1,6,100,5,95,4,0,4,0,0,1,0.8,0.75,0.5,1.5,1,3,3,t1_e2,0.5584101888449715,0.5039,0.5597,0.501
main,influenza_a,high_interaction,main_baseline_neutral,none,1,7,100,5,95,4,1,3,0,0,1,0.8,0.75,0.5,1.0,1,3,3,t1_e2,0.5927601809954751,0.5096,0.6523,0.5021
main,influenza_a,high_interaction,main_baseline_neutral,none,1,8,100,5,95,3,0,1,2,0,2,0.6,0.6667,0.3333,0.25,1,2,3,t1_e2,0.599607265586647,0.5125,0.6063,0.5076
main,influenza_a,high_interaction,main_baseline_neutral,none,1,9,100,5,95,3,1,2,0,0,2,1.0,1.0,1.0,1.75,0,3,3,t1_e2,0.6054251700680272,0.5203,0.6416,0.5139
main,influenza_a,high_interaction,main_baseline_neutral,none,1,10,100,5,95,4,0,4,0,0,1,0.8,0.75,0.5,1.5,1,3,3,t1_e2,0.6317282665278501,0.5246,0.7644,0.512
main,influenza_a,high_interaction,main_baseline_neutral,none,1,11,100,5,95,5,1,4,0,0,0,1.0,1.0,1.0,1.25,0,5,3,t1_e2,0.6454508363933089,0.5304,0.813,0.5155
main,influenza_a,high_interaction,main_baseline_neutral,none,1,12,100,5,95,5,1,2,2,0,0,0.8,0.8,0.6,1.25,1,4,3,t1_e2,0.6830584707646177,0.5344,0.7925,0.5208
main,influenza_a,high_interaction,main_baseline_neutral,none,1,13,100,5,95,4,2,2,0,0,1,0.8,1.0,1.0,1.5,0,4,3,t1_e2,0.6898222796311968,0.5389,0.8032,0.525
main,influenza_a,high_interaction,main_baseline_neutral,none,1,14,100,5,95,5,2,1,2,0,0,0.8,0.8,0.6,0.5,1,4,3,t1_e2,0.7037684537684538,0.5432,0.8237,0.5285
main,influenza_a,high_interaction,main_baseline_neutral,none,1,15,100,5,95,5,0,4,1,0,0,1.0,1.0,1.0,1.0,0,5,3,t1_e2,0.7231626754748143,0.5484,0.8875,0.5306
main,influenza_a,high_interaction,main_baseline_neutral,none,2,1,100,5,95,5,5,0,0,0,0,0.6,0.6,0.2,,2,3,4,seed_4,,0.4944,0.5556,0.4912
main,influenza_a,high_interaction,main_baseline_neutral,none,2,2,100,5,95,4,2,2,0,0,1,1.0,1.0,1.0,3.5,0,4,5,t1_e5,0.6,0.5022,0.6072,0.4967
