experiment_family,scenario_name,condition_name,persona_name,cell_persona_design,chat_atmosphere,repeat_index,n_events,final_timestep,mean_nsb,mean_gcr,mean_ssa,mean_scm,mean_public_nsb_active,final_nsb,terminal_active_nsb,active_agents_terminal_nsb,terminal_all_agents_nsb,entry_all_agents_nsb,delta_all_agents_nsb,delta_terminal_minus_entry,public_thread_negative_share,terminal_active_agents_nsb,terminal_inactive_agents_nsb,entry_all_agents_latent_neg_mean,terminal_all_agents_latent_neg_mean,delta_all_agents_latent_neg_mean,entry_active_agents_latent_neg_mean,terminal_active_agents_latent_neg_mean,entry_inactive_agents_latent_neg_mean,terminal_inactive_agents_latent_neg_mean,delta_inactive_agents_latent_neg_mean,entry_all_agents_attitude_n,terminal_all_agents_attitude_n,entry_active_agents_attitude_n,terminal_active_agents_attitude_n,entry_inactive_agents_attitude_n,terminal_inactive_agents_attitude_n,terminal_panel_all_last_choice_nsb,terminal_panel_active_last_choice_nsb,terminal_panel_inactive_last_choice_nsb,terminal_panel_never_active_last_choice_nsb,terminal_panel_all_latent_neg_mean,terminal_panel_active_latent_neg_mean,terminal_panel_inactive_latent_neg_mean,terminal_panel_never_active_latent_neg_mean,terminal_panel_active_n,terminal_panel_inactive_n,terminal_panel_never_active_n,terminal_nsb_by_persona,active_count_by_persona,prototype_mean_latent_by_persona,prototype_negative_ratio_by_persona,inactive_shift,active_shift,terminal_all_agents_cb,terminal_all_agents_sb,terminal_all_agents_eb_probe,probe_n_agents,final_gcr,final_ssa,terminal_support_report_1_count,terminal_support_report_2_count,terminal_neutral_count,terminal_reply_count,terminal_post_count,terminal_like_count,terminal_repost_count,terminal_group_tendency,terminal_community_atmosphere,stop_reason,stop_timestep
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,1,225,15,0.5644,0.708,0.1454,1.0333,0.5644,0.4783,0.7333,0.7333,0.4783,0.4383,0.04,0.04,0.5479,0.62,0.4311,0.4901,0.5141,0.024,,0.5901,0.4901,0.4888,-0.0013,51,105,0,64,51,41,0.49,0.7333,0.4772,0.4667,0.5159,0.7259,0.5048,0.4915,15,285,225,"{""main_baseline_neutral"": 0.49}","{""main_baseline_neutral"": 75}","{""main_baseline_neutral"": 0.5159}","{""main_baseline_neutral"": 0.0633}",-0.0072,,0.5267,0.8667,0.55,300,0.6,0.2,4,6,0,5,1,4,0,support_report_2,negative_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,2,75,5,0.9067,0.9135,0.827,1.0526,0.9067,0.5633,1.0,1.0,0.5633,0.45,0.1133,0.1133,0.9014,0.9821,0.4672,0.4914,0.5239,0.0325,,0.6645,0.4914,0.4916,0.0002,40,88,0,56,40,32,0.57,1.0,0.5474,0.4754,0.525,0.7148,0.515,0.4921,15,285,244,"{""main_baseline_neutral"": 0.57}","{""main_baseline_neutral"": 56}","{""main_baseline_neutral"": 0.525}","{""main_baseline_neutral"": 0.05}",0.0172,,0.5817,1.0,0.59,300,1.0,1.0,0,14,0,7,2,5,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,3,225,15,0.2578,0.7839,-0.4283,0.5948,0.2578,0.3667,0.2667,0.2667,0.3667,0.435,-0.0683,-0.0683,0.2383,0.1944,0.4211,0.4895,0.4648,-0.0247,,0.3992,0.4895,0.4856,-0.0039,43,112,0,66,43,46,0.3867,0.2667,0.393,0.4496,0.466,0.3957,0.4697,0.4867,15,285,228,"{""main_baseline_neutral"": 0.3867}","{""main_baseline_neutral"": 72}","{""main_baseline_neutral"": 0.466}","{""main_baseline_neutral"": 0.0167}",-0.0139,,0.4333,0.2,0.47,300,0.7692,-0.5385,10,3,0,4,3,6,0,support_report_1,positive_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,4,75,5,0.8933,0.9111,0.8222,1.2222,0.8933,0.5383,1.0,1.0,0.5383,0.4633,0.075,0.075,0.9,0.9649,0.4383,0.4902,0.5217,0.0315,,0.6528,0.4902,0.491,0.0008,32,99,0,57,32,42,0.5717,1.0,0.5491,0.4794,0.5232,0.6791,0.515,0.492,15,285,243,"{""main_baseline_neutral"": 0.5717}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.5232}","{""main_baseline_neutral"": 0.0333}",-0.025,,0.5867,1.0,0.5833,300,1.0,1.0,0,13,0,6,3,4,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,5,225,15,0.3378,0.697,-0.1553,1.0519,0.3378,0.395,0.4667,0.4667,0.395,0.4483,-0.0533,-0.0533,0.3366,0.2887,0.4279,0.4911,0.4829,-0.0082,,0.4593,0.4911,0.4903,-0.0008,41,109,0,62,41,47,0.42,0.4667,0.4175,0.4563,0.4825,0.4873,0.4822,0.4888,15,285,229,"{""main_baseline_neutral"": 0.42}","{""main_baseline_neutral"": 71}","{""main_baseline_neutral"": 0.4825}","{""main_baseline_neutral"": 0.0367}",-0.0204,,0.4483,0.3871,0.49,300,0.5385,-0.0769,7,6,0,3,5,5,0,support_report_1,positive_leaning,max_timestep,15
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,6,75,5,0.9067,0.9135,0.827,1.2222,0.9067,0.5633,1.0,1.0,0.5633,0.4367,0.1266,0.1266,0.9014,0.9737,0.4671,0.4887,0.5227,0.034,,0.6565,0.4887,0.4913,0.0026,44,78,0,56,44,22,0.5833,1.0,0.5614,0.4918,0.5225,0.7097,0.5127,0.4909,15,285,243,"{""main_baseline_neutral"": 0.5833}","{""main_baseline_neutral"": 57}","{""main_baseline_neutral"": 0.5225}","{""main_baseline_neutral"": 0.0367}",0.0304,,0.5867,1.0,0.5883,300,1.0,1.0,0,13,0,9,2,2,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,7,165,11,0.7394,0.7898,0.4834,1.4516,0.7394,0.55,0.9333,0.9333,0.55,0.4467,0.1033,0.1033,0.7468,0.8889,0.443,0.4888,0.534,0.0452,,0.67,0.4888,0.4911,0.0023,38,100,0,64,38,36,0.5667,0.9333,0.5474,0.4715,0.5328,0.7662,0.5205,0.4902,15,285,228,"{""main_baseline_neutral"": 0.5667}","{""main_baseline_neutral"": 72}","{""main_baseline_neutral"": 0.5328}","{""main_baseline_neutral"": 0.09}",-0.0037,,0.5933,1.0,0.5833,300,0.9231,0.8462,1,12,0,9,4,0,0,support_report_2,negative_leaning,high_consensus,11
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,8,75,5,0.8933,0.8878,0.7755,1.2353,0.8933,0.5517,1.0,1.0,0.5517,0.435,0.1167,0.1167,0.8841,0.9655,0.4525,0.4894,0.5228,0.0334,,0.6559,0.4894,0.4909,0.0015,49,95,0,58,49,37,0.5817,1.0,0.5596,0.4876,0.5232,0.7125,0.5133,0.4912,15,285,242,"{""main_baseline_neutral"": 0.5817}","{""main_baseline_neutral"": 58}","{""main_baseline_neutral"": 0.5232}","{""main_baseline_neutral"": 0.0433}",0.0175,,0.5867,1.0,0.59,300,1.0,1.0,0,13,0,9,0,4,0,support_report_2,negative_leaning,high_consensus,5
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,9,180,12,0.8167,0.8562,0.7124,1.0088,0.8167,0.5617,1.0,1.0,0.5617,0.455,0.1067,0.1067,0.8182,0.9179,0.4592,0.4929,0.5465,0.0536,,0.7268,0.4929,0.4947,0.0018,39,97,0,62,39,35,0.58,1.0,0.5579,0.4828,0.5458,0.882,0.5281,0.4936,15,285,233,"{""main_baseline_neutral"": 0.58}","{""main_baseline_neutral"": 67}","{""main_baseline_neutral"": 0.5458}","{""main_baseline_neutral"": 0.1033}",0.0042,,0.5867,1.0,0.5883,300,1.0,1.0,0,13,0,6,5,2,0,support_report_2,negative_leaning,high_consensus,12
main,influenza_a,high_interaction,main_baseline_neutral,single_persona,none,10,90,6,0.8111,0.8355,0.6413,1.4333,0.8111,0.5383,1.0,1.0,0.5383,0.44,0.0983,0.0983,0.8214,0.9167,0.4437,0.4914,0.5223,0.0309,,0.6503,0.4914,0.4903,-0.0011,42,91,0,56,42,35,0.56,1.0,0.5368,0.4708,0.522,0.7192,0.5116,0.4907,15,285,240,"{""main_baseline_neutral"": 0.56}","{""main_baseline_neutral"": 60}","{""main_baseline_neutral"": 0.522}","{""main_baseline_neutral"": 0.0567}",0.0037,,0.58,1.0,0.5833,300,1.0,1.0,0,14,0,3,4,7,0,support_report_2,negative_leaning,high_consensus,6
