experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,repeat_index,timestep,n_agents,n_active_agents,n_inactive_agents,n_public_events,n_post,n_reply,n_like,n_repost,n_observe,nsb_active,gcr_step_public,ssa_step_public,scm_step_active,positive_public_signals,negative_public_signals,visible_hyperedge_count,dominant_hyperedge_id,visible_negative_pressure,mean_latent_neg_all,mean_latent_neg_active,mean_latent_neg_inactive
main,influenza_a,high_interaction,main_baseline_neutral,none,1,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4934,0.5387,0.491
main,influenza_a,high_interaction,main_baseline_neutral,none,1,2,300,15,285,13,4,4,5,0,2,0.3333,0.6154,-0.2308,0.0,8,5,5,t1_e15,0.6,0.496,0.4916,0.4962
main,influenza_a,high_interaction,main_baseline_neutral,none,1,3,300,15,285,15,9,6,0,0,0,0.4667,0.5,0.0,0.4,7,7,2,t1_e11,0.546875,0.4988,0.5409,0.4966
main,influenza_a,high_interaction,main_baseline_neutral,none,1,4,300,15,285,15,7,7,1,0,0,0.7333,0.7333,0.4667,0.875,4,11,2,t1_e11,0.4114795918367347,0.5006,0.6239,0.4941
main,influenza_a,high_interaction,main_baseline_neutral,none,1,5,300,15,285,15,11,4,0,0,0,0.7333,0.7857,0.5714,1.1667,3,11,2,t1_e11,0.5570824524312896,0.5058,0.552,0.5034
main,influenza_a,high_interaction,main_baseline_neutral,none,1,6,300,15,285,14,11,3,0,0,1,0.8667,0.9286,0.8571,1.7692,1,13,2,t1_e12,0.5869281045751634,0.5125,0.689,0.5032
main,influenza_a,high_interaction,main_baseline_neutral,none,1,7,300,15,285,15,8,6,1,0,0,0.8667,0.8667,0.7333,1.3077,2,13,2,t1_e12,0.6261437908496732,0.5196,0.673,0.5116
main,influenza_a,high_interaction,main_baseline_neutral,none,1,8,300,15,285,15,8,6,1,0,0,0.9333,0.9333,0.8667,1.4615,1,14,2,t1_e12,0.6410618792971734,0.5272,0.7292,0.5166
main,influenza_a,high_interaction,main_baseline_neutral,none,1,9,300,15,285,15,7,8,0,0,0,0.9333,0.9333,0.8667,0.3846,1,14,2,t1_e12,0.6732622798887858,0.5345,0.8116,0.5199
main,influenza_a,high_interaction,main_baseline_neutral,none,1,10,300,15,285,15,7,8,0,0,0,1.0,1.0,1.0,1.3077,0,15,2,t1_e12,0.7217171717171718,0.5443,0.7765,0.5321
main,influenza_a,high_interaction,main_baseline_neutral,none,2,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4933,0.5429,0.4907
main,influenza_a,high_interaction,main_baseline_neutral,none,2,2,300,15,285,13,5,6,2,0,2,1.0,1.0,1.0,,0,13,5,t1_e9,0.8,0.5067,0.6393,0.4998
main,influenza_a,high_interaction,main_baseline_neutral,none,2,3,300,15,285,15,12,1,2,0,0,0.9333,0.9333,0.8667,2.0,1,14,2,t1_e14,0.903361344537815,0.5218,0.6429,0.5154
main,influenza_a,high_interaction,main_baseline_neutral,none,2,4,300,15,285,14,3,5,6,0,1,1.0,1.0,1.0,0.8571,0,14,2,t1_e14,0.9285714285714286,0.537,0.7025,0.5283
main,influenza_a,high_interaction,main_baseline_neutral,none,2,5,300,15,285,13,4,3,6,0,2,1.0,1.0,1.0,1.7143,0,13,2,t1_e9,0.961916461916462,0.5533,0.6959,0.5458
main,influenza_a,high_interaction,main_baseline_neutral,none,3,1,300,15,285,15,15,0,0,0,0,0.5333,0.5333,0.0667,,7,8,4,seed_4,,0.4917,0.5384,0.4892
main,influenza_a,high_interaction,main_baseline_neutral,none,3,2,300,15,285,12,7,5,0,0,3,0.2,0.75,-0.5,0.0,9,3,5,t1_e15,0.6,0.4931,0.4771,0.4939
main,influenza_a,high_interaction,main_baseline_neutral,none,3,3,300,15,285,15,2,11,2,0,0,0.2667,0.7143,-0.4286,2.3333,10,4,3,t1_e12,0.3793103448275862,0.4901,0.5301,0.488
main,influenza_a,high_interaction,main_baseline_neutral,none,3,4,300,15,285,14,3,9,2,0,1,0.2667,0.6923,-0.3846,1.1111,9,4,3,t1_e12,0.30303030303030304,0.4859,0.5065,0.4848
main,influenza_a,high_interaction,main_baseline_neutral,none,3,5,300,15,285,12,2,6,4,0,3,0.2667,0.75,-0.5,0.4286,9,3,3,t1_e12,0.323005698005698,0.4818,0.5421,0.4787
main,influenza_a,high_interaction,main_baseline_neutral,none,3,6,300,15,285,12,4,8,0,0,3,0.2667,0.75,-0.5,0.3077,9,3,3,t1_e12,0.3159626266614028,0.4772,0.4992,0.4761
